,id,type,labels,description,image_url,Filename,Date
3616,80310,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240910100835143_mackerel_bad.jpeg,20240910100835143_mackerel_bad.jpeg,2024-09-10
3626,81921,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240926094227777_mackerel_bad.jpeg,20240926094227777_mackerel_bad.jpeg,2024-09-26
3627,82094,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20241002102426458_mackerel_bad.jpeg,20241002102426458_mackerel_bad.jpeg,2024-10-02
3631,82785,white prawns,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/white prawns/bad/20241015103307962_white prawns_bad.jpeg,20241015103307962_white prawns_bad.jpeg,2024-10-15
3633,83128,white prawns,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/white prawns/bad/20241017101814512_white prawns_bad.jpeg,20241017101814512_white prawns_bad.jpeg,2024-10-17
3638,83976,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20241024104843027_mackerel_bad.jpeg,20241024104843027_mackerel_bad.jpeg,2024-10-24
3645,85159,sardine,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/sardine/bad/20241119094300902_sardine_bad.jpeg,20241119094300902_sardine_bad.jpeg,2024-11-19
3661,80311,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240910100846100_mackerel_bad.jpeg,20240910100846100_mackerel_bad.jpeg,2024-09-10
3675,81922,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240926094238717_mackerel_bad.jpeg,20240926094238717_mackerel_bad.jpeg,2024-09-26
3676,82095,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20241002102434339_mackerel_bad.jpeg,20241002102434339_mackerel_bad.jpeg,2024-10-02
3684,82786,white prawns,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/white prawns/bad/20241015103341370_white prawns_bad.jpeg,20241015103341370_white prawns_bad.jpeg,2024-10-15
3686,83129,white prawns,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/white prawns/bad/20241017101836621_white prawns_bad.jpeg,20241017101836621_white prawns_bad.jpeg,2024-10-17
3691,83977,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20241024104852241_mackerel_bad.jpeg,20241024104852241_mackerel_bad.jpeg,2024-10-24
3698,85160,sardine,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/sardine/bad/20241119094341630_sardine_bad.jpeg,20241119094341630_sardine_bad.jpeg,2024-11-19
5144,80312,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240910100901913_mackerel_bad.jpeg,20240910100901913_mackerel_bad.jpeg,2024-09-10
5189,81923,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240926094251235_mackerel_bad.jpeg,20240926094251235_mackerel_bad.jpeg,2024-09-26
5190,82096,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20241002102447543_mackerel_bad.jpeg,20241002102447543_mackerel_bad.jpeg,2024-10-02
5196,83130,white prawns,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/white prawns/bad/20241017101856490_white prawns_bad.jpeg,20241017101856490_white prawns_bad.jpeg,2024-10-17
5228,80314,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240910100955073_mackerel_bad.jpeg,20240910100955073_mackerel_bad.jpeg,2024-09-10
5316,80315,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240910101056814_mackerel_bad.jpeg,20240910101056814_mackerel_bad.jpeg,2024-09-10
5334,81222,sardine,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/sardine/bad/20240919094739048_sardine_bad.jpeg,20240919094739048_sardine_bad.jpeg,2024-09-19
5350,80316,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240910101109772_mackerel_bad.jpeg,20240910101109772_mackerel_bad.jpeg,2024-09-10
5357,81223,sardine,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/sardine/bad/20240919094821516_sardine_bad.jpeg,20240919094821516_sardine_bad.jpeg,2024-09-19
5379,81924,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240926094304591_mackerel_bad.jpeg,20240926094304591_mackerel_bad.jpeg,2024-09-26
5380,82097,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20241002102456901_mackerel_bad.jpeg,20241002102456901_mackerel_bad.jpeg,2024-10-02
5384,82788,white prawns,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/white prawns/bad/20241015103426803_white prawns_bad.jpeg,20241015103426803_white prawns_bad.jpeg,2024-10-15
8926,51761,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20240306105949897_white prawns_bad.jpeg,20240306105949897_white prawns_bad.jpeg,2024-03-06
10401,24398,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923093438588_white prawns_bad.jpeg,20230923093438588_white prawns_bad.jpeg,2023-09-23
11319,65608,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20240523100443651_mackerel_bad.jpeg,20240523100443651_mackerel_bad.jpeg,2024-05-23
11560,80317,mackerel,bad,Softness,https://fish-data-collection-v2.s3.ap-south-1.amazonaws.com/mackerel/bad/20240910101119964_mackerel_bad.jpeg,20240910101119964_mackerel_bad.jpeg,2024-09-10
13209,51762,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20240306105957000_white prawns_bad.jpeg,20240306105957000_white prawns_bad.jpeg,2024-03-06
15048,24410,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923094928373_white prawns_bad.jpeg,20230923094928373_white prawns_bad.jpeg,2023-09-23
15236,24411,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923094938856_white prawns_bad.jpeg,20230923094938856_white prawns_bad.jpeg,2023-09-23
15475,24412,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923094949172_white prawns_bad.jpeg,20230923094949172_white prawns_bad.jpeg,2023-09-23
15571,51763,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20240306110010420_white prawns_bad.jpeg,20240306110010420_white prawns_bad.jpeg,2024-03-06
15710,24413,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923094959229_white prawns_bad.jpeg,20230923094959229_white prawns_bad.jpeg,2023-09-23
15894,24414,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923095007651_white prawns_bad.jpeg,20230923095007651_white prawns_bad.jpeg,2023-09-23
16172,24415,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923095018680_white prawns_bad.jpeg,20230923095018680_white prawns_bad.jpeg,2023-09-23
16550,24416,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923095028477_white prawns_bad.jpeg,20230923095028477_white prawns_bad.jpeg,2023-09-23
16644,65609,mackerel,bad,"Softness, Cuts and Damage",https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20240523100451563_mackerel_bad.jpeg,20240523100451563_mackerel_bad.jpeg,2024-05-23
16737,24417,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923095040968_white prawns_bad.jpeg,20230923095040968_white prawns_bad.jpeg,2023-09-23
16929,24418,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923095049070_white prawns_bad.jpeg,20230923095049070_white prawns_bad.jpeg,2023-09-23
17115,24419,white prawns,bad,"Softness, Red Head in Prawns",https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923095102016_white prawns_bad.jpeg,20230923095102016_white prawns_bad.jpeg,2023-09-23
17297,24420,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923095113103_white prawns_bad.jpeg,20230923095113103_white prawns_bad.jpeg,2023-09-23
17391,51764,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20240306110021566_white prawns_bad.jpeg,20240306110021566_white prawns_bad.jpeg,2024-03-06
17484,24421,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923095124000_white prawns_bad.jpeg,20230923095124000_white prawns_bad.jpeg,2023-09-23
17761,24422,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923095132963_white prawns_bad.jpeg,20230923095132963_white prawns_bad.jpeg,2023-09-23
17946,24423,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230923095148707_white prawns_bad.jpeg,20230923095148707_white prawns_bad.jpeg,2023-09-23
18041,31575,tiger prawns,bad,Cuts and Damage,https://fish-data-collection.s3.ap-south-1.amazonaws.com/tiger prawns/bad/20231201113215884_tiger prawns_bad.jpeg,20231201113215884_tiger prawns_bad.jpeg,2023-12-01
