                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2212,                 2.2445,                 1.0197,                0.60591,                0.58663,                0.55646,                0.39442,                0.96169,                 1.2392,                0.97589,             0.00030076,             0.00030076,             0.00030076
                      2,                 1.0447,                0.94376,                0.97536,                0.57647,                0.70588,                 0.6099,                0.45401,                0.83948,                 1.0128,                0.95605,             0.00059522,             0.00059522,             0.00059522
                      3,                0.99621,                0.82444,                0.96595,                 0.5937,                0.58628,                0.60907,                0.45312,                0.83029,                0.91308,                0.94405,             0.00088111,             0.00088111,             0.00088111
                      4,                0.96666,                0.76201,                0.95923,                0.76285,                0.61381,                0.68228,                0.52171,                0.79384,                0.71637,                0.93988,             0.00087043,             0.00087043,             0.00087043
                      5,                0.94067,                0.71171,                0.95287,                0.69451,                0.71212,                0.72381,                0.54322,                0.80249,                 0.6473,                0.93937,             0.00085758,             0.00085758,             0.00085758
                      6,                0.92989,                 0.6851,                0.94844,                0.70278,                0.69689,                  0.724,                0.54082,                 0.8559,                0.65089,                 0.9647,             0.00084472,             0.00084472,             0.00084472
                      7,                0.91731,                0.66092,                0.94516,                 0.6295,                0.66069,                0.69078,                0.52249,                 0.7761,                 0.7152,                 0.9254,             0.00083186,             0.00083186,             0.00083186
                      8,                0.90954,                0.64807,                0.94209,                0.65676,                0.68477,                0.70541,                0.54398,                0.77357,                0.68994,                0.93631,             0.00081901,             0.00081901,             0.00081901
                      9,                0.90051,                0.63362,                0.93968,                0.71541,                0.74179,                0.74116,                0.57811,                0.74203,                0.62229,                0.92506,             0.00080615,             0.00080615,             0.00080615
                     10,                0.89213,                0.62266,                0.93865,                 0.6638,                0.73619,                0.73928,                0.57883,                0.72133,                0.59257,                0.91403,              0.0007933,              0.0007933,              0.0007933
                     11,                0.88777,                0.60944,                0.93697,                 0.6805,                0.71618,                0.73852,                0.58077,                0.71524,                 0.5906,                0.91967,             0.00078044,             0.00078044,             0.00078044
                     12,                0.87815,                0.59856,                0.93448,                0.64636,                0.74341,                0.74213,                 0.5775,                0.75194,                0.61747,                0.92418,             0.00076759,             0.00076759,             0.00076759
                     13,                   0.87,                0.59849,                0.93171,                0.67016,                0.73416,                0.74807,                0.58647,                0.73743,                0.57593,                0.92454,             0.00075473,             0.00075473,             0.00075473
                     14,                0.87027,                0.58811,                0.93262,                0.71427,                0.75233,                0.75832,                0.59637,                0.70388,                0.55572,                0.91351,             0.00074187,             0.00074187,             0.00074187
                     15,                0.86413,                0.58055,                0.93071,                0.74444,                0.72251,                0.75638,                0.60703,                0.66477,                0.56074,                0.90572,             0.00072902,             0.00072902,             0.00072902
                     16,                0.85455,                0.57627,                0.93034,                0.65574,                0.76109,                0.75396,                0.61234,                0.63445,                0.54522,                0.89463,             0.00071616,             0.00071616,             0.00071616
                     17,                 0.8511,                0.57107,                0.92898,                0.73656,                0.73075,                 0.7711,                0.61445,                0.69461,                 0.5501,                0.91106,             0.00070331,             0.00070331,             0.00070331
                     18,                0.84712,                0.56509,                0.92784,                 0.7288,                0.74949,                0.77757,                0.62508,                0.65797,                0.52135,                0.90301,             0.00069045,             0.00069045,             0.00069045
                     19,                0.84265,                0.55768,                0.92743,                0.70127,                0.76565,                0.77576,                0.62938,                0.63326,                0.51964,                0.89529,             0.00067759,             0.00067759,             0.00067759
                     20,                0.83959,                0.55671,                0.92548,                0.72787,                0.75328,                0.77788,                0.62923,                0.65517,                0.52302,                0.90356,             0.00066474,             0.00066474,             0.00066474
                     21,                0.82815,                0.54799,                0.92334,                 0.7348,                0.74735,                0.77514,                0.63383,                0.61637,                0.51074,                0.89033,             0.00065188,             0.00065188,             0.00065188
                     22,                0.82343,                0.54962,                0.92229,                0.70452,                0.76137,                0.77843,                0.63677,                0.60747,                0.51746,                 0.8887,             0.00063903,             0.00063903,             0.00063903
                     23,                 0.8098,                0.54232,                0.91854,                0.75174,                0.74022,                0.77897,                0.63823,                0.60745,                 0.5087,                0.89447,             0.00062617,             0.00062617,             0.00062617
