                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52658,                0.97098,                 2.4372,                0.87786,                 0.0209,                0.99841,                0.95533,                0.81705,                 0.0207,                0.98885,                 0.9551,                0.83966,                0.46051,                0.91198,                 2.4123,                0.79211,                0.00048,                0.00048,                0.00048
                      2,                0.48078,                0.68916,                 1.0558,                0.84638,                0.99745,                0.62384,                 0.9549,                0.80929,                0.99491,                0.62225,                0.94874,                0.84322,                0.53527,                0.76781,                 2.0629,                 0.7958,             0.00093149,             0.00093149,             0.00093149
                      3,                0.46871,                0.64778,                0.65801,                0.84413,                0.99334,                0.71301,                0.96441,                0.83832,                0.99334,                0.71301,                0.96183,                0.87625,                0.50562,                 0.5991,                 1.7495,                0.80652,              0.0013335,              0.0013335,              0.0013335
                      4,                0.48148,                0.64924,                0.61487,                0.84763,                0.98918,                0.87327,                0.97527,                0.87222,                0.98915,                0.87081,                0.97214,                0.88273,                0.44297,                0.54727,                 1.4641,                0.80634,               0.001686,               0.001686,               0.001686
                      5,                0.44463,                0.59127,                0.57596,                0.85007,                0.97752,                0.96019,                0.98872,                0.89185,                0.97565,                0.95694,                0.98052,                0.90074,                0.44042,                0.65512,                0.90895,                  0.812,               0.001604,               0.001604,               0.001604
                      6,                0.43849,                0.59385,                0.53167,                 0.8407,                0.97041,                0.96338,                0.98904,                0.91654,                 0.9688,                0.96178,                0.98558,                0.89711,                0.37313,                0.53479,                0.55174,                0.79606,               0.001505,               0.001505,               0.001505
                      7,                0.40863,                0.56423,                0.50974,                0.84156,                0.98394,                0.97553,                0.99265,                0.94259,                0.97945,                0.96975,                0.98192,                0.89232,                 0.3165,                0.61372,                0.51193,                 0.7998,               0.001406,               0.001406,               0.001406
                      8,                0.37555,                0.58835,                0.47903,                0.83333,                0.98407,                0.98361,                0.99361,                0.94596,                0.98248,                0.98201,                0.99291,                0.88406,                0.31383,                0.63637,                0.44684,                0.79713,               0.001307,               0.001307,               0.001307
                      9,                0.38118,                0.57009,                0.47486,                0.83161,                0.99263,                0.96975,                0.99345,                0.94595,                0.99093,                0.96815,                0.99259,                0.91004,                 0.3062,                0.52286,                0.38548,                0.79937,               0.001208,               0.001208,               0.001208
                     10,                0.36324,                0.59467,                0.45356,                0.83462,                0.97814,                0.97771,                0.99323,                0.94525,                0.97903,                0.96632,                0.98659,                0.91112,                0.28987,                0.54976,                0.40754,                0.80142,               0.001109,               0.001109,               0.001109
                     11,                 0.3265,                0.52258,                0.46905,                0.81318,                0.99355,                0.98055,                  0.994,                0.95584,                0.99193,                0.97896,                0.99152,                0.90406,                0.28603,                0.54208,                0.44957,                0.79938,                0.00101,                0.00101,                0.00101
                     12,                0.32588,                0.49544,                0.42836,                0.80505,                0.98841,                 0.9793,                0.99422,                0.95086,                0.98681,                0.97771,                0.99364,                0.90675,                0.28784,                0.46534,                 0.3741,                0.80058,               0.000911,               0.000911,               0.000911
                     13,                0.31822,                0.53476,                0.42183,                0.80541,                0.99354,                0.97898,                0.99417,                0.95398,                 0.9903,                0.97514,                0.98912,                0.89062,                0.27835,                0.56803,                0.34701,                0.80137,               0.000812,               0.000812,               0.000812
                     14,                0.30582,                0.51087,                0.39408,                0.80165,                0.99036,                0.98144,                0.99396,                 0.9589,                0.98393,                0.97507,                0.98803,                0.90736,                0.27388,                0.56514,                0.33441,                0.79916,               0.000713,               0.000713,               0.000713
                     15,                0.30745,                0.50093,                0.38812,                0.81067,                0.98311,                0.99045,                 0.9946,                 0.9663,                0.98153,                0.98885,                0.99445,                0.90881,                0.24379,                0.46073,                 0.3165,                0.79401,               0.000614,               0.000614,               0.000614
                     16,                0.30323,                0.50287,                0.36935,                0.80805,                0.99036,                0.98183,                0.99378,                0.95879,                0.98876,                0.98024,                0.99363,                0.89797,                0.25349,                0.46137,                0.30389,                0.79871,               0.000515,               0.000515,               0.000515
                     17,                0.28534,                0.48303,                0.35276,                0.80619,                0.99417,                0.97771,                0.99404,                 0.9599,                0.99255,                0.97611,                0.99396,                0.90546,                0.24203,                0.43913,                0.29001,                0.79552,               0.000416,               0.000416,               0.000416
                     18,                0.27941,                0.44745,                0.34745,                0.79998,                0.99514,                0.97845,                0.99403,                0.96531,                0.99507,                0.97771,                0.99397,                0.90933,                0.22406,                0.44033,                 0.2769,                0.79292,               0.000317,               0.000317,               0.000317
                     19,                0.26684,                0.44168,                0.33034,                0.80025,                0.99566,                 0.9793,                0.99457,                0.96591,                0.99512,                0.97494,                 0.9945,                0.92275,                0.22303,                0.43695,                0.26817,                0.79339,               0.000218,               0.000218,               0.000218
                     20,                0.25621,                0.43954,                0.31828,                0.79833,                0.98385,                0.99204,                0.99453,                0.96929,                0.98227,                0.99045,                 0.9945,                0.91522,                0.21013,                0.44511,                0.25661,                0.79205,               0.000119,               0.000119,               0.000119
