                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3374,                 2.2958,                0.98749,                0.84921,                0.64183,                0.70263,                0.47923,                 1.1258,                 1.6187,                0.96211,             0.00046981,             0.00046981,             0.00046981
                      2,                 1.2254,                 1.0974,                0.94866,                0.77177,                0.78818,                0.83234,                0.59641,                0.96254,                0.95386,                0.89698,             0.00092741,             0.00092741,             0.00092741
                      3,                 1.2241,                0.96299,                0.95776,                0.83482,                 0.7859,                0.83686,                 0.6023,                0.96221,                0.77406,                0.90881,              0.0013661,              0.0013661,              0.0013661
                      4,                 1.2256,                0.94167,                 0.9586,                0.78285,                0.78077,                0.83145,                0.58397,                 0.9825,                0.83831,                0.92252,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.1818,                0.88982,                0.95889,                0.81289,                 0.8348,                0.84685,                0.59849,                0.98747,                0.72599,                0.91666,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.1719,                0.83728,                0.95835,                0.86262,                0.84309,                0.89007,                0.63467,                0.96061,                0.66635,                0.91608,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.1497,                0.79908,                0.95059,                0.86799,                0.85502,                0.90361,                0.65345,                 0.9312,                0.66052,                 0.9034,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.1462,                   0.78,                0.94661,                0.88351,                0.86774,                0.90381,                0.65658,                 0.9192,                0.61233,                0.89491,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.1145,                0.74545,                0.94143,                0.87221,                0.85415,                 0.9072,                0.66236,                0.92691,                0.61902,                0.90368,              0.0012026,              0.0012026,              0.0012026
                     10,                  1.134,                0.73872,                0.94478,                0.90275,                0.86129,                0.91553,                0.66421,                 0.9161,                 0.5968,                0.89554,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.0986,                0.71549,                0.93502,                 0.8685,                0.86535,                0.91105,                0.66969,                0.90292,                0.58969,                0.89909,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1121,                0.70867,                0.94067,                0.88688,                0.86576,                0.91262,                0.66312,                0.91364,                0.58032,                0.90181,              0.0011178,              0.0011178,              0.0011178
