                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3978,                 2.9773,                 2.8788,                 1.2879,                0.78303,                0.53027,                0.59032,                0.39814,                0.51494,                0.25167,                0.23643,                0.15618,                 1.2998,                 1.7767,                 2.1643,                 1.4633,               0.070199,              0.0033113,              0.0033113
                      1,                 1.2696,                  2.074,                 1.6522,                 1.1794,                  0.786,                0.52215,                 0.5807,                0.37527,                0.54571,                0.26192,                 0.2621,                0.16645,                 1.4109,                 2.4152,                 1.9586,                 1.4363,               0.040166,              0.0066117,              0.0066117
                      2,                 1.2921,                 2.1332,                 1.5254,                 1.1956,                0.63603,                0.62534,                0.64588,                0.41087,                0.31471,                0.31925,                0.28268,                0.17138,                 1.3666,                 1.7641,                 1.7174,                 1.4209,                 0.0101,              0.0098791,              0.0098791
                      3,                 1.3429,                 2.2653,                 1.4917,                 1.2178,                 0.6613,                0.42218,                0.51224,                0.30466,                0.23308,                 0.2186,                0.20873,                0.11937,                 1.4632,                 2.1263,                 1.9738,                 1.4465,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.3272,                 2.2422,                 1.4145,                 1.2163,                0.67187,                 0.5755,                0.63167,                0.40462,                0.43721,                0.31356,                 0.3077,                0.18204,                 1.3661,                 1.7789,                  1.626,                 1.4607,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2989,                 2.2787,                  1.321,                 1.2103,                0.62164,                 0.6802,                0.67412,                0.44858,                0.37775,                0.36901,                0.31945,                0.20302,                 1.3213,                 2.3908,                 1.5641,                  1.343,               0.009802,               0.009802,               0.009802
                      6,                 1.2812,                 2.2421,                 1.2693,                 1.1994,                0.68191,                0.68499,                0.71672,                0.47393,                0.41266,                0.40265,                0.37009,                0.21516,                 1.2546,                  1.892,                 1.3494,                 1.3235,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2381,                 2.2597,                 1.2005,                 1.1764,                0.67445,                0.69495,                0.71118,                0.46389,                0.41095,                0.37542,                0.34532,                0.21637,                 1.2582,                 1.8224,                 1.3347,                 1.3172,               0.009703,               0.009703,               0.009703
                      8,                  1.222,                 2.2236,                 1.1554,                 1.1703,                0.60626,                0.63509,                 0.6398,                0.42836,                0.36288,                 0.3553,                0.30593,                0.19241,                  1.396,                 2.0882,                 1.6163,                 1.5014,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2195,                 2.2102,                 1.1242,                 1.1749,                0.62051,                 0.7411,                 0.7252,                0.49034,                0.38405,                0.42024,                0.35872,                0.21672,                 1.2546,                 1.7685,                 1.2926,                 1.3079,               0.009604,               0.009604,               0.009604
                     10,                 1.1966,                 2.2092,                 1.1171,                 1.1586,                 0.6391,                0.67905,                0.68359,                0.46732,                0.39093,                0.37318,                0.32822,                0.20286,                 1.2596,                 1.7759,                 1.4408,                 1.3579,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1894,                 2.1894,                 1.0682,                  1.147,                0.63831,                0.77074,                0.76014,                0.52297,                0.34247,                0.45814,                0.36657,                0.22113,                 1.1474,                 1.8522,                 1.2019,                 1.2279,               0.009505,               0.009505,               0.009505
                     12,                 1.1671,                 2.1343,                 1.0416,                 1.1485,                0.79938,                0.60343,                0.69105,                0.47647,                0.52303,                0.34919,                0.32828,                0.21093,                 1.2162,                 1.8402,                 1.2845,                 1.3609,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1495,                 2.1973,                 1.0179,                 1.1401,                0.79867,                0.70987,                0.78884,                0.54063,                0.53427,                0.43658,                0.41931,                0.24681,                 1.1291,                 1.7739,                 1.0821,                   1.24,               0.009406,               0.009406,               0.009406
                     14,                 1.1388,                 2.1926,                 0.9986,                 1.1323,                0.72079,                0.75316,                 0.7762,                0.53252,                0.45641,                0.44328,                0.39703,                0.24487,                 1.1043,                 1.8535,                 1.0776,                 1.1866,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.1274,                 2.1514,                0.96881,                 1.1295,                0.75078,                0.70513,                 0.7278,                0.50117,                 0.4623,                 0.3989,                0.37052,                0.22916,                  1.245,                 1.8495,                 1.3459,                 1.3315,               0.009307,               0.009307,               0.009307
                     16,                 1.1162,                 2.1288,                0.94744,                 1.1231,                0.71155,                0.78483,                0.78848,                0.55375,                0.44885,                0.46298,                 0.4154,                0.25893,                 1.1091,                 1.8086,                 1.0406,                 1.2101,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1094,                  2.124,                0.93333,                 1.1136,                0.77546,                0.76462,                0.80134,                0.55796,                0.45374,                0.44896,                0.42808,                0.25827,                 1.0746,                 1.8373,                 1.0088,                 1.1603,               0.009208,               0.009208,               0.009208
                     18,                 1.1111,                 2.2142,                0.93047,                  1.115,                0.73816,                0.74899,                0.76418,                0.53479,                0.50438,                0.45146,                0.40643,                0.25453,                 1.1112,                 1.8289,                 1.1353,                 1.2641,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1051,                 2.1396,                0.93335,                 1.1173,                0.66163,                0.77021,                0.76834,                0.53865,                0.37781,                0.42981,                0.38122,                0.22951,                 1.1597,                 1.7809,                 1.1004,                 1.2718,               0.009109,               0.009109,               0.009109
                     20,                 1.1005,                 2.1586,                0.91271,                  1.109,                0.76402,                 0.7578,                0.79764,                0.56159,                0.46048,                0.44112,                0.40064,                0.24133,                  1.088,                 1.8411,                0.99619,                 1.1961,              0.0090595,              0.0090595,              0.0090595
                     21,                  1.085,                 2.1276,                0.89038,                 1.0982,                0.71238,                0.79606,                0.80813,                0.57601,                0.45255,                0.47376,                0.42615,                0.26665,                 1.0807,                 1.7854,                 1.0603,                 1.2044,                0.00901,                0.00901,                0.00901
                     22,                 1.0789,                 2.1357,                0.88614,                 1.0994,                0.76417,                0.72271,                0.77284,                0.55183,                0.37957,                0.44504,                0.38177,                0.23844,                 1.0583,                 1.8704,                 1.0105,                 1.1681,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.0619,                 2.1302,                0.86369,                 1.0877,                0.72381,                0.76757,                0.79505,                0.56945,                0.43406,                0.45241,                0.39605,                0.23984,                 1.1131,                 1.8648,                 1.0283,                 1.2355,               0.008911,               0.008911,               0.008911
                     24,                 1.0656,                 2.1206,                0.85798,                 1.0925,                0.68702,                0.79357,                0.80247,                 0.5662,                0.41933,                0.47589,                 0.4235,                 0.2603,                 1.0732,                 1.7953,                0.94965,                 1.1889,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0479,                 2.0863,                0.84909,                  1.087,                0.82427,                0.75734,                0.81061,                0.58062,                 0.5605,                0.43788,                0.41731,                0.27481,                  1.057,                 1.7457,                0.99943,                 1.1782,               0.008812,               0.008812,               0.008812
                     26,                 1.0554,                  2.134,                0.85313,                 1.0937,                0.79591,                0.75784,                0.81535,                0.57619,                0.47932,                0.45058,                0.41405,                 0.2526,                 1.0578,                 1.7462,                0.97256,                 1.1652,              0.0087625,              0.0087625,              0.0087625
                     27,                  1.062,                 2.0361,                0.85217,                 1.0875,                0.76219,                0.78785,                0.79571,                0.56281,                0.48781,                0.48152,                0.42276,                0.26722,                 1.1298,                 1.7329,                 1.0074,                 1.2508,               0.008713,               0.008713,               0.008713
                     28,                 1.0376,                 2.1001,                0.82377,                   1.09,                0.80859,                0.80086,                0.82704,                0.58375,                0.53012,                0.49342,                 0.4508,                0.28103,                 1.0586,                 1.7718,                0.92474,                 1.1797,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.0427,                 2.1191,                0.82386,                 1.0815,                0.78944,                0.79487,                0.82067,                0.58942,                0.50563,                0.47204,                0.43639,                0.27453,                 1.0482,                 1.7914,                0.89761,                 1.1781,               0.008614,               0.008614,               0.008614
                     30,                 1.0267,                 2.0718,                0.81226,                 1.0754,                0.81262,                0.75441,                0.81078,                 0.5894,                 0.5436,                0.45061,                0.43697,                0.27799,                 1.0152,                 1.7614,                0.93191,                 1.1471,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0349,                 2.0734,                0.80629,                 1.0775,                0.77415,                0.79584,                 0.8122,                0.58817,                0.50247,                0.46952,                0.43191,                0.27174,                 1.0271,                 1.6923,                0.95325,                 1.1628,               0.008515,               0.008515,               0.008515
                     32,                 1.0184,                 2.0783,                0.79271,                  1.071,                0.81684,                0.77755,                0.82945,                0.60176,                0.52435,                0.45734,                0.43921,                0.27868,                0.99453,                   1.72,                0.85425,                 1.1412,              0.0084655,              0.0084655,              0.0084655
                     33,                  1.016,                 2.0828,                0.78655,                 1.0703,                0.74785,                0.79432,                0.81204,                0.58414,                0.47355,                0.48266,                0.43095,                0.26585,                 1.0579,                 1.7726,                0.93935,                 1.2329,               0.008416,               0.008416,               0.008416
                     34,                 1.0287,                 2.0241,                0.79936,                 1.0785,                0.83736,                0.80883,                0.85975,                 0.6291,                0.54349,                0.48162,                0.46772,                0.30063,                0.98975,                 1.7143,                 0.8926,                 1.1367,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0172,                 2.0468,                0.78162,                 1.0703,                0.81441,                 0.8134,                0.83285,                0.60343,                0.53789,                0.47928,                0.44745,                0.28368,                 1.0145,                 1.7663,                0.90484,                 1.1595,               0.008317,               0.008317,               0.008317
                     36,                 1.0183,                  2.072,                0.79159,                 1.0716,                 0.7835,                0.81685,                 0.8458,                0.62733,                0.50808,                0.51158,                0.46325,                0.29895,                0.99214,                 1.7558,                 0.8528,                 1.1284,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0142,                  2.069,                0.78508,                 1.0695,                0.81982,                0.77401,                0.82525,                0.59705,                0.52849,                0.45318,                0.42119,                0.25868,                 1.0438,                 1.8261,                0.88424,                 1.1634,               0.008218,               0.008218,               0.008218
                     38,                 1.0127,                 2.0326,                0.77787,                 1.0671,                0.76597,                 0.8079,                0.82797,                0.59266,                0.49063,                0.48775,                0.44507,                0.27537,                 1.0111,                 1.7845,                0.85526,                 1.1388,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0075,                 2.0429,                0.77122,                 1.0604,                  0.782,                0.76509,                0.80461,                0.58233,                0.48847,                0.46833,                0.42646,                0.26008,                 1.0122,                 1.7846,                0.90347,                 1.1756,               0.008119,               0.008119,               0.008119
                     40,                0.99723,                 2.0697,                0.76153,                 1.0598,                0.76896,                0.71842,                0.76195,                0.55618,                0.48257,                0.40666,                0.36247,                 0.2318,                  1.122,                 2.1254,                0.99292,                 1.2438,              0.0080695,              0.0080695,              0.0080695
                     41,                0.99837,                 2.0341,                0.74866,                 1.0548,                0.80413,                0.82589,                0.85091,                0.63011,                0.52564,                0.50473,                0.47341,                0.30899,                 1.0051,                 1.7167,                0.82897,                 1.1375,                0.00802,                0.00802,                0.00802
                     42,                0.98927,                 2.0083,                0.74958,                 1.0564,                0.64941,                0.72557,                0.72164,                0.54218,                0.38828,                0.41318,                0.35637,                0.23004,                 1.1245,                 1.8296,                 1.0909,                 1.2725,              0.0079705,              0.0079705,              0.0079705
                     43,                0.97831,                 1.9947,                0.73119,                  1.051,                0.78332,                0.78507,                0.82032,                0.58116,                0.49363,                0.45651,                0.44046,                0.26451,                 1.0706,                 1.7884,                0.86014,                 1.2159,               0.007921,               0.007921,               0.007921
                     44,                0.98216,                 2.0187,                0.73584,                 1.0494,                0.81954,                 0.8017,                0.84598,                0.62071,                0.57592,                0.46633,                0.46488,                0.29722,                0.99267,                 1.8484,                 0.8226,                 1.1428,              0.0078715,              0.0078715,              0.0078715
                     45,                0.99535,                  1.986,                0.74268,                 1.0574,                0.80441,                0.78061,                0.82722,                0.61102,                0.52281,                0.46829,                0.45224,                0.28971,                  0.977,                 1.7694,                0.85359,                 1.1518,               0.007822,               0.007822,               0.007822
                     46,                 0.9803,                 2.0237,                0.72728,                  1.053,                0.83784,                0.79671,                0.84502,                0.61928,                0.56066,                0.50972,                0.47736,                0.30495,                  1.019,                 1.8157,                 0.8329,                  1.176,              0.0077725,              0.0077725,              0.0077725
                     47,                0.98267,                 2.0029,                0.73097,                 1.0552,                0.78591,                0.81444,                0.82796,                0.61824,                 0.4891,                0.47797,                0.42618,                0.27989,                 0.9636,                 1.8033,                0.81287,                 1.1527,               0.007723,               0.007723,               0.007723
                     48,                0.97484,                 1.9694,                0.72878,                 1.0452,                0.80905,                0.82853,                0.84383,                0.62783,                 0.5453,                0.52127,                0.46898,                0.30907,                0.94294,                 1.7419,                0.78191,                 1.1209,              0.0076735,              0.0076735,              0.0076735
                     49,                0.96972,                 2.0165,                0.72398,                 1.0432,                0.85034,                0.82325,                 0.8625,                0.64289,                 0.5466,                0.49256,                0.47313,                0.30797,                0.96236,                 1.7623,                0.77663,                 1.1117,               0.007624,               0.007624,               0.007624
                     50,                0.98261,                 1.9956,                0.72953,                 1.0513,                 0.8297,                0.81723,                0.85337,                0.63026,                0.54075,                0.52264,                0.48527,                0.30948,                0.95222,                 1.7822,                0.81751,                 1.1326,              0.0075745,              0.0075745,              0.0075745
                     51,                0.98376,                 1.9674,                0.72844,                 1.0555,                0.81754,                0.82906,                0.84751,                0.62227,                0.56546,                0.50115,                0.46663,                0.29429,                0.97317,                 1.7889,                0.82387,                 1.1216,               0.007525,               0.007525,               0.007525
                     52,                0.96916,                 1.9845,                0.71664,                 1.0412,                 0.8341,                0.82207,                0.85549,                0.63174,                0.54049,                0.50154,                0.46878,                0.29929,                0.97366,                 1.6999,                 0.8334,                 1.1379,              0.0074755,              0.0074755,              0.0074755
                     53,                0.96159,                 1.9931,                0.71541,                 1.0429,                0.80536,                0.77862,                0.81134,                0.59389,                0.51852,                0.44426,                0.41653,                0.25771,                 1.0156,                 1.7936,                0.88127,                 1.1838,               0.007426,               0.007426,               0.007426
                     54,                0.97469,                 1.9647,                0.72021,                  1.044,                0.78937,                0.84211,                 0.8475,                 0.6279,                0.50805,                0.51674,                0.45594,                 0.2889,                 0.9283,                 1.7407,                0.82675,                 1.1204,              0.0073765,              0.0073765,              0.0073765
                     55,                0.96731,                 2.0153,                0.70945,                 1.0444,                0.73782,                 0.7928,                0.79779,                0.60044,                0.44257,                0.47928,                0.41043,                0.26136,                 0.9716,                 1.7729,                0.87437,                 1.1407,               0.007327,               0.007327,               0.007327
                     56,                0.96231,                 1.9629,                0.70456,                 1.0392,                0.81749,                0.84732,                0.86134,                0.64732,                0.52864,                0.49089,                0.47277,                 0.3128,                 0.9479,                 1.7675,                0.77851,                 1.1028,              0.0072775,              0.0072775,              0.0072775
                     57,                 0.9569,                 1.9339,                0.70613,                 1.0362,                0.81632,                0.83229,                0.84745,                0.62822,                0.53205,                0.51728,                0.47178,                 0.3026,                0.96795,                 1.7983,                0.80187,                 1.1213,               0.007228,               0.007228,               0.007228
                     58,                0.95003,                 1.9473,                0.69618,                  1.039,                 0.7817,                0.84722,                0.85413,                 0.6425,                0.46894,                0.49102,                0.43044,                0.28515,                0.95528,                 1.7754,                0.78837,                 1.1107,              0.0071785,              0.0071785,              0.0071785
                     59,                0.94942,                 2.0005,                0.69293,                 1.0387,                0.77809,                0.80515,                0.81695,                0.61029,                 0.4919,                0.47837,                0.42002,                0.26689,                0.96168,                 1.7874,                0.80935,                 1.1373,               0.007129,               0.007129,               0.007129
                     60,                0.94881,                 1.9548,                0.69805,                 1.0385,                0.83966,                0.80645,                0.84251,                0.62823,                0.55478,                0.49129,                0.46145,                0.29479,                0.99042,                  1.769,                0.81156,                 1.1402,              0.0070795,              0.0070795,              0.0070795
                     61,                0.95742,                 1.9622,                0.69492,                 1.0378,                0.82885,                0.83152,                0.86162,                0.63863,                0.54475,                0.51275,                0.47973,                0.30706,                0.93686,                  1.733,                 0.7935,                  1.089,                0.00703,                0.00703,                0.00703
