                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4969,                 1.7135,                 1.2629,                0.82014,                0.56482,                0.56858,                0.40729,                0.99081,                0.93986,                 1.0599,              0.0033256,              0.0033256,              0.0033256
                      2,                 1.3556,                0.95672,                 1.1433,                0.61596,                0.70956,                0.66669,                0.48807,                0.91176,                0.82814,                 1.0003,               0.006593,               0.006593,               0.006593
                      3,                 1.3329,                0.88167,                 1.1185,                0.77071,                 0.7597,                  0.799,                0.57388,                 0.9876,                0.71287,                 1.0026,              0.0097945,              0.0097945,              0.0097945
                      4,                 1.3195,                 0.8292,                 1.1014,                0.76679,                0.77262,                0.81081,                0.57743,                0.90534,                0.65009,                0.98516,               0.009703,               0.009703,               0.009703
                      5,                 1.2905,                0.78474,                 1.0908,                0.80612,                0.81348,                0.84064,                0.61915,                0.83833,                0.58669,                0.95917,               0.009604,               0.009604,               0.009604
                      6,                 1.2597,                0.74488,                  1.079,                0.75253,                0.84761,                0.84667,                0.62257,                0.84712,                 0.5841,                0.96266,               0.009505,               0.009505,               0.009505
                      7,                 1.2466,                0.72384,                 1.0724,                0.75181,                0.79005,                0.82577,                0.58261,                0.95354,                0.59621,                0.99004,               0.009406,               0.009406,               0.009406
                      8,                 1.2231,                0.70268,                 1.0662,                0.78741,                0.80883,                0.84319,                0.62212,                0.88449,                0.55972,                 0.9653,               0.009307,               0.009307,               0.009307
                      9,                 1.2188,                0.69088,                 1.0606,                0.82983,                0.79337,                0.82921,                0.59971,                0.91264,                  0.573,                0.97878,               0.009208,               0.009208,               0.009208
                     10,                 1.2006,                0.68056,                 1.0555,                0.85011,                0.80167,                0.85714,                0.63217,                0.87706,                0.53358,                0.96307,               0.009109,               0.009109,               0.009109
                     11,                 1.1896,                0.67089,                 1.0501,                0.79617,                0.82753,                0.81949,                0.61049,                0.84827,                0.52897,                0.95773,                0.00901,                0.00901,                0.00901
                     12,                 1.1834,                0.66251,                  1.047,                0.85227,                0.82242,                0.86918,                0.65505,                0.78815,                0.50995,                0.94048,               0.008911,               0.008911,               0.008911
                     13,                 1.1559,                 0.6484,                 1.0369,                0.88248,                0.80835,                0.87089,                0.66555,                 0.7871,                0.51205,                0.93096,               0.008812,               0.008812,               0.008812
                     14,                 1.1471,                0.64185,                 1.0326,                0.82623,                0.82607,                0.86844,                0.65103,                0.81263,                0.52235,                0.94323,               0.008713,               0.008713,               0.008713
                     15,                 1.1427,                  0.637,                 1.0301,                0.85947,                0.83409,                0.86293,                0.65469,                0.79455,                0.51121,                0.93832,               0.008614,               0.008614,               0.008614
                     16,                 1.1315,                 0.6292,                 1.0283,                0.84477,                0.83414,                0.87126,                0.66757,                0.79062,                0.49556,                0.93391,               0.008515,               0.008515,               0.008515
                     17,                 1.1181,                0.62382,                 1.0252,                0.86196,                0.83406,                0.87566,                0.67795,                0.75735,                0.48705,                0.92413,               0.008416,               0.008416,               0.008416
                     18,                 1.1145,                0.61896,                 1.0207,                 0.8805,                0.81015,                0.87751,                0.68313,                0.75319,                  0.476,                0.92043,               0.008317,               0.008317,               0.008317
