date,filename,filename_id,fish_detected,confidence,actual_class,predicted_class,reason
2024-12-10,2024-12-10_10_41_23_(17798)_sardine_input.jpeg,(17798)_(1),2,[     0.9196     0.93373],Bad,Bad,Softness-0.019267704337835312
2024-12-10,2024-12-10_10_41_23_(17798)_sardine_input.jpeg,(17798)_(2),2,[     0.9196     0.93373],Bad,Bad,Softness-0.4960469901561737
2024-12-10,2024-12-10_10_44_14_(17813)_sardine_input.jpeg,(17813)_(1),2,[    0.92826     0.91188],Bad,Bad,Softness-0.10234745591878891
2024-12-10,2024-12-10_10_44_14_(17813)_sardine_input.jpeg,(17813)_(2),2,[    0.92826     0.91188],Bad,Bad,Softness-0.07936852425336838
2024-12-10,2024-12-10_10_41_35_(17799)_sardine_input.jpeg,(17799)_(1),2,[    0.92356     0.93465],Bad,Good,0.8516835
2024-12-10,2024-12-10_10_41_35_(17799)_sardine_input.jpeg,(17799)_(2),2,[    0.92356     0.93465],Bad,Good,0.70217305
2024-12-10,2024-12-10_10_41_11_(17797)_sardine_input.jpeg,(17797)_(1),2,[    0.90984     0.92416],Bad,Bad,Softness-0.33674734830856323
2024-12-10,2024-12-10_10_41_11_(17797)_sardine_input.jpeg,(17797)_(2),2,[    0.90984     0.92416],Bad,Bad,Softness-0.13680239021778107
2024-12-10,2024-12-10_10_35_15_(17770)_sardine_input.jpeg,(17770)_(1),2,[    0.90219     0.91953],Bad,Bad,Softness-0.0041952733881771564
2024-12-10,2024-12-10_10_35_15_(17770)_sardine_input.jpeg,(17770)_(2),2,[    0.90219     0.91953],Bad,Bad,Softness-0.001901149982586503
2024-12-10,2024-12-10_10_37_58_(17781)_sardine_input.jpeg,(17781)_(1),2,[    0.91784     0.92359],Bad,Good,0.56058365
2024-12-10,2024-12-10_10_37_58_(17781)_sardine_input.jpeg,(17781)_(2),2,[    0.91784     0.92359],Bad,Bad,Softness-0.25618913769721985
2024-12-10,2024-12-10_10_40_12_(17792)_sardine_input.jpeg,(17792)_(1),2,[    0.91798     0.93334],Bad,Bad,Softness-0.09781347960233688
2024-12-10,2024-12-10_10_40_12_(17792)_sardine_input.jpeg,(17792)_(2),2,[    0.91798     0.93334],Bad,Bad,Softness-0.10244474560022354
2024-12-10,2024-12-10_10_35_00_(17769)_sardine_input.jpeg,(17769)_(1),2,[     0.9435     0.92811],Bad,Bad,Softness-0.32985082268714905
2024-12-10,2024-12-10_10_35_00_(17769)_sardine_input.jpeg,(17769)_(2),2,[     0.9435     0.92811],Bad,Bad,Softness-0.03668219968676567
