                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2095,                 3.2215,                 2.9415,                 1.4688,                0.00322,                0.96552,                0.51745,                0.33794,                 0.0031,                0.93103,                0.51375,                0.34401,                0.69178,                 2.1904,                 3.0215,                 1.1361,                0.00014,                0.00014,                0.00014
                      2,                0.66218,                 1.1968,                 1.9054,                 1.0967,                0.85312,                0.27586,                0.81793,                0.68839,                0.85312,                0.27586,                0.81735,                0.70791,                0.52019,                 1.7488,                 2.4764,                0.88794,             0.00029505,             0.00029505,             0.00029505
                      3,                0.62441,                0.78722,                 1.2641,                0.99615,                      1,                0.69905,                0.93509,                  0.696,                      1,                0.69905,                0.93537,                0.67902,                0.56053,                 1.7409,                 2.5369,                0.96671,             0.00044482,             0.00044482,             0.00044482
                      4,                0.58784,                0.56183,                 1.1645,                0.97722,                0.87891,                 0.5011,                0.69956,                0.53447,                0.87891,                 0.5011,                0.69925,                0.56438,                0.64091,                  1.084,                 2.4587,                 1.0432,             0.00058931,             0.00058931,             0.00058931
                      5,                0.61842,                0.64925,                 1.2021,                0.97709,                0.89243,                0.89655,                0.89406,                0.67742,                0.89243,                0.89655,                0.89328,                0.73114,                0.64105,                0.96011,                 2.1811,                 1.1152,             0.00072852,             0.00072852,             0.00072852
                      6,                0.67569,                0.73167,                 1.1618,                 1.0362,                0.89582,                0.88972,                0.92339,                0.77156,                0.89582,                0.88972,                0.92339,                 0.8264,                 0.6412,                 1.1531,                 1.8773,                 1.0451,             0.00086245,             0.00086245,             0.00086245
                      7,                 0.7063,                0.75345,                 1.2355,                  1.057,                0.91432,                0.93103,                0.91155,                0.72963,                0.91432,                0.93103,                0.91234,                0.82437,                0.71959,                 1.6338,                 1.9938,                 1.0909,              0.0009911,              0.0009911,              0.0009911
                      8,                0.60798,                0.60603,                 1.0583,                0.99375,                0.80299,                0.93103,                0.90186,                0.66507,                0.80299,                0.93103,                0.90186,                0.81105,                0.68486,                  1.236,                 1.7609,                  1.086,              0.0011145,              0.0011145,              0.0011145
                      9,                0.61754,                0.56438,                 1.0389,                0.99995,                0.83029,                0.93103,                0.86753,                0.73932,                0.83029,                0.93103,                0.86753,                0.79597,                0.61518,                0.90911,                 1.6284,                0.97844,              0.0012326,              0.0012326,              0.0012326
                     10,                0.62263,                0.59346,                 1.0257,                0.98026,                0.86413,                0.82759,                0.90188,                0.64362,                0.86413,                0.82759,                0.90158,                0.67427,                0.78599,                 1.3695,                 1.8657,                 1.1715,              0.0013454,              0.0013454,              0.0013454
                     11,                0.64923,                0.58202,                0.96425,                  1.007,                0.81158,                0.93103,                0.90046,                0.69268,                0.81158,                0.93103,                0.89986,                0.70935,                0.84534,                 2.5198,                 2.0023,                 1.2088,              0.0014529,              0.0014529,              0.0014529
                     12,                0.68708,                0.61961,                0.96094,                 1.0318,                0.70653,                0.89655,                0.86751,                0.59391,                0.70653,                0.89655,                0.86689,                0.72255,                   1.17,                 1.0401,                  2.663,                 1.8275,              0.0015552,              0.0015552,              0.0015552
                     13,                0.63928,                0.55024,                0.95762,                0.99862,                0.88319,                0.89655,                 0.8982,                0.73116,                0.88319,                0.89655,                0.89781,                0.84747,                0.92633,                 1.2228,                 1.8118,                 1.4486,               0.001604,               0.001604,               0.001604
                     14,                0.61493,                0.55184,                0.90367,                 0.9982,                0.91757,                0.89655,                0.91057,                 0.8169,                0.91757,                0.89655,                0.91034,                 0.8448,                0.69751,                 1.1419,                 1.3239,                 1.1224,               0.001604,               0.001604,               0.001604
                     15,                0.57852,                 0.5795,                0.83467,                0.96165,                0.86611,                0.93103,                0.92134,                 0.7754,                0.86611,                0.93103,                0.92109,                0.82137,                0.63772,                0.98549,                 1.3555,                 1.0073,               0.001571,               0.001571,               0.001571
                     16,                0.67242,                0.56858,                 0.8663,                  1.004,                0.89697,                0.93103,                0.90401,                0.80322,                0.89697,                0.93103,                0.90178,                0.80609,                0.56544,                 1.6977,                 1.1573,                0.92291,               0.001538,               0.001538,               0.001538
                     17,                0.57064,                0.46739,                0.78735,                0.96916,                0.92746,                0.93103,                0.92481,                0.84686,                0.92746,                0.93103,                0.92334,                0.90612,                0.52502,                 1.0119,                0.89337,                 0.9328,               0.001505,               0.001505,               0.001505
                     18,                0.55324,                0.51315,                0.75082,                0.95424,                0.91402,                0.93103,                0.91947,                0.84921,                0.91402,                0.93103,                 0.9175,                0.90897,                0.52572,                0.90786,                 1.1039,                0.92585,               0.001472,               0.001472,               0.001472
                     19,                0.54843,                0.46281,                0.74714,                0.94087,                0.92912,                0.93103,                0.91821,                0.86148,                0.92912,                0.93103,                0.91792,                0.90676,                0.54741,                0.77208,                0.96312,                0.96572,               0.001439,               0.001439,               0.001439
                     20,                0.64196,                0.50455,                0.83404,                0.99959,                0.92706,                0.93103,                0.91001,                0.81978,                0.92706,                0.93103,                 0.9097,                0.88158,                0.57468,                0.62903,                0.92852,                0.95957,               0.001406,               0.001406,               0.001406
                     21,                0.60758,                0.51351,                0.80892,                0.98201,                 0.9253,                0.93103,                0.91467,                0.84379,                 0.9253,                0.93103,                0.91441,                0.88649,                0.51439,                0.55328,                0.89859,                0.88379,               0.001373,               0.001373,               0.001373
                     22,                0.56759,                0.40983,                0.75625,                0.94913,                0.92568,                0.93103,                0.93402,                0.85935,                0.92568,                0.93103,                0.93376,                0.90896,                 0.4691,                 0.5191,                0.78521,                0.86177,                0.00134,                0.00134,                0.00134
                     23,                0.55799,                0.48516,                0.75616,                0.95535,                0.95902,                0.93103,                0.93623,                0.90517,                0.95902,                0.93103,                0.93623,                0.91137,                0.42734,                0.49361,                0.75016,                0.82479,               0.001307,               0.001307,               0.001307
                     24,                0.53606,                0.41644,                0.65822,                0.94318,                0.94755,                0.93103,                0.93693,                0.88003,                0.94755,                0.93103,                0.93666,                0.89833,                0.42683,                0.54203,                 0.6866,                0.82248,               0.001274,               0.001274,               0.001274
                     25,                0.56386,                0.45014,                0.70875,                0.95384,                0.92809,                0.93103,                0.91158,                0.83118,                0.92809,                0.93103,                0.91174,                0.88654,                0.46459,                0.59959,                0.72985,                0.86215,               0.001241,               0.001241,               0.001241
                     26,                0.56807,                0.47325,                0.71574,                0.94361,                0.89701,                0.93103,                0.91465,                0.84851,                0.89701,                0.93103,                0.91465,                0.87785,                0.47727,                0.63679,                0.81096,                0.86916,               0.001208,               0.001208,               0.001208
