Filename,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),one_pixel_value,Scale Detected,Fish Detected,Circumference(cm),Area(cm),Label
IMG20230523095949.jpg,0,0,0,0,0,0.0,False,True,6249.313216209412,852393.5,0
IMG20230523095943.jpg,17,4,18,11,5,0.005952380952380952,True,True,44.0,38.0,0
IMG20230523095932.jpg,14,5,15,11,5,0.0059412132582864294,True,True,36.0,24.0,0
IMG20230523095950.jpg,18,4,18,10,4,0.00721336370539104,True,True,43.0,42.0,0
IMG20230523095936.jpg,15,5,16,10,3,0.005775075987841946,True,True,40.0,35.0,0
IMG20230523095729.jpg,14,3,15,11,5,0.006140917905623788,True,True,36.0,32.0,0
IMG20230523095612.jpg,15,4,16,11,5,0.006440677966101695,True,True,38.0,35.0,0
IMG20230523095618.jpg,13,4,14,11,5,0.006180871828236825,True,True,33.0,26.0,0
IMG20230523095606.jpg,14,3,14,11,5,0.006371562709590879,True,True,35.0,29.0,0
IMG20230523095632.jpg,14,3,14,10,4,0.007207890743550834,True,True,35.0,30.0,0
IMG20230523095627.jpg,13,3,14,10,5,0.005919003115264798,True,True,33.0,28.0,0
IMG20230523095642.jpg,10,5,12,10,5,0.0067043048694424845,True,True,30.0,16.0,0
IMG20230523095622.jpg,12,3,13,11,5,0.005900621118012423,True,True,29.0,26.0,0
IMG20230523095637.jpg,0,0,0,0,0,0.0,False,True,4105.628994941711,486439.0,0
IMG20230523095602.jpg,14,5,15,10,5,0.006097560975609756,True,True,37.0,31.0,0
IMG20230608074944.jpg,13,3,13,11,5,0.00510204081632653,True,True,31.0,24.0,0
IMG20230608074953.jpg,14,3,14,11,5,0.005634638196915777,True,True,34.0,28.0,0
IMG20230608074958.jpg,14,3,14,11,6,0.005702280912364946,True,True,35.0,28.0,0
IMG20230608075003.jpg,16,4,17,10,4,0.005831798649478207,True,True,39.0,35.0,0
IMG20230608075022.jpg,15,3,15,10,5,0.0058823529411764705,True,True,37.0,32.0,0
IMG20230608075017.jpg,16,3,16,10,5,0.005611340815121087,True,True,39.0,38.0,0
IMG20230608075010.jpg,14,3,15,11,5,0.00657439446366782,True,True,37.0,31.0,0
IMG20230608075034.jpg,15,5,16,11,5,0.006229508196721312,True,True,38.0,32.0,0
IMG20230608075050.jpg,15,3,15,11,5,0.006489071038251366,True,True,37.0,33.0,0
IMG20230608075044.jpg,14,4,15,11,5,0.006533700137551582,True,True,35.0,30.0,0
IMG20230608075029.jpg,15,3,16,11,5,0.00623768877216021,True,True,37.0,29.0,0
IMG20230608075106.jpg,10,5,11,10,4,0.004547630445189086,True,True,26.0,22.0,0
IMG20230608075101.jpg,13,3,14,11,5,0.005050505050505051,True,True,33.0,26.0,0
IMG20230608075302.jpg,13,3,14,11,5,0.0051295896328293735,True,True,32.0,25.0,0
IMG20230608075258.jpg,13,3,13,11,6,0.005271920088790233,True,True,33.0,24.0,0
IMG20230608075323.jpg,13,3,14,11,6,0.005743651753325272,True,True,34.0,26.0,0
IMG20230608075318.jpg,14,2,14,11,5,0.0052807115063924406,True,True,32.0,25.0,0
IMG20230608075311.jpg,13,4,14,11,5,0.006140917905623788,True,True,34.0,28.0,0
IMG20230608075334.jpg,13,3,13,11,6,0.0058714462299134735,True,True,32.0,25.0,0
IMG20230608075329.jpg,14,4,14,11,6,0.005400795906765207,True,True,35.0,30.0,0
IMG20230608075339.jpg,15,3,15,10,5,0.006062539885130823,True,True,37.0,30.0,0
IMG20230608075352.jpg,14,3,14,10,5,0.005469199769717904,True,True,34.0,28.0,0
IMG20230608075345.jpg,14,3,14,11,5,0.005967336683417085,True,True,35.0,29.0,0
IMG20230608075406.jpg,15,3,15,11,5,0.004960835509138381,True,True,38.0,33.0,0
IMG20230608075359.jpg,14,3,14,11,5,0.005904288377874456,True,True,34.0,27.0,0
IMG20230608075436.jpg,12,5,13,11,5,0.006184895833333333,True,True,31.0,25.0,0
IMG20230608075412.jpg,14,3,14,11,5,0.005397727272727273,True,True,33.0,26.0,0
IMG20230608075431.jpg,13,4,14,11,5,0.006245890861275477,True,True,32.0,26.0,0
IMG20230608075423.jpg,12,4,13,11,6,0.006132989025177534,True,True,29.0,21.0,0
IMG20230608075456.jpg,14,3,14,10,5,0.005627962085308057,True,True,34.0,28.0,0
IMG20230608075449.jpg,14,4,15,11,5,0.005349099099099099,True,True,36.0,30.0,0
IMG20230608075442.jpg,16,3,16,11,5,0.00572289156626506,True,True,38.0,33.0,0
