FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
16.0,3.0,16.0,15.0,2.0,0.02508361204013378,37.0,44.0,0.1875,1.0265625,0.2320166015625,2024-12-24_10:08:53_(18119)_sardine_input_(0).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.02508361204013378,36.0,41.0,0.2,1.0251572327044025,0.2134375,2024-12-24_10:08:53_(18119)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.024958402662229616,37.0,38.0,0.2,1.0305466237942122,0.20272786458333333,2024-12-24_10:09:03_(18120)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.024958402662229616,37.0,36.0,0.2,1.0207006369426752,0.18923828125,2024-12-24_10:09:03_(18120)_sardine_input_(1).png,yes,yes
,,,,,,,,,,,2024-12-24_10:09:11_(18121)_sardine_input.jpeg,yes,no
,,,,,,,,,,,2024-12-24_10:09:21_(18122)_sardine_input.jpeg,yes,no
15.0,3.0,15.0,15.0,1.0,0.024115755627009645,35.0,43.0,0.2,1.02660406885759,0.244404296875,2024-12-24_10:09:31_(18123)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.024115755627009645,37.0,38.0,0.2,1.025078369905956,0.21724609375,2024-12-24_10:09:31_(18123)_sardine_input_(1).png,yes,yes
15.0,4.0,16.0,15.0,2.0,0.024834437086092714,37.0,47.0,0.26666666666666666,1.0391236306729263,0.25330729166666666,2024-12-24_10:09:41_(18124)_sardine_input_(0).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.024834437086092714,36.0,42.0,0.2,1.0235109717868338,0.22642578125,2024-12-24_10:09:41_(18124)_sardine_input_(1).png,yes,yes
,,,,,,,,,,,2024-12-24_10:09:51_(18125)_sardine_input.jpeg,yes,no
,,,,,,,,,,,2024-12-24_10:09:59_(18126)_sardine_input.jpeg,yes,no
14.0,3.0,15.0,15.0,2.0,0.024311183144246355,34.0,40.0,0.21428571428571427,1.0309446254071661,0.22185221354166668,2024-12-24_10:10:08_(18127)_sardine_input_(0).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.024311183144246355,38.0,40.0,0.2,1.03125,0.22508138020833332,2024-12-24_10:10:08_(18127)_sardine_input_(1).png,yes,yes
15.0,4.0,16.0,15.0,2.0,0.024232633279483037,36.0,47.0,0.26666666666666666,1.034375,0.26442545572916665,2024-12-24_10:10:16_(18128)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.024232633279483037,34.0,42.0,0.2,1.027331189710611,0.23498860677083333,2024-12-24_10:10:16_(18128)_sardine_input_(1).png,yes,yes
,,,,,,,,,,,2024-12-24_10:10:27_(18129)_sardine_input.jpeg,yes,no
,,,,,,,,,,,2024-12-24_10:10:40_(18130)_sardine_input.jpeg,yes,no
16.0,3.0,16.0,15.0,2.0,0.025423728813559324,37.0,51.0,0.1875,1.028169014084507,0.25695963541666667,2024-12-24_10:10:51_(18131)_sardine_input_(0).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.025423728813559324,35.0,44.0,0.2,1.027552674230146,0.2242626953125,2024-12-24_10:10:51_(18131)_sardine_input_(1).png,yes,yes
,,,,,,,,,,,2024-12-26_09:36:33_(18212)_sardine_input.jpeg,yes,no
14.0,3.0,14.0,15.0,1.0,0.023547880690737835,32.0,35.0,0.21428571428571427,1.0282861896838602,0.2107666015625,2024-12-26_09:36:45_(18213)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.023547880690737835,34.0,40.0,0.2,1.0266457680250785,0.24062825520833334,2024-12-26_09:36:45_(18213)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.024671052631578948,35.0,40.0,0.2,1.0308943089430895,0.21760579427083335,2024-12-26_09:36:55_(18214)_sardine_input_(0).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.024671052631578948,35.0,35.0,0.21428571428571427,1.0247524752475248,0.19096842447916668,2024-12-26_09:36:55_(18214)_sardine_input_(1).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.023696682464454975,34.0,36.0,0.21428571428571427,1.0238095238095237,0.21395182291666667,2024-12-26_09:37:05_(18215)_sardine_input_(0).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.023696682464454975,34.0,38.0,0.21428571428571427,1.028616852146264,0.22330078125,2024-12-26_09:37:05_(18215)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.023622047244094488,35.0,34.0,0.2,1.0266875981161696,0.203916015625,2024-12-26_09:37:16_(18216)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.023622047244094488,34.0,41.0,0.2,1.0265625,0.24278157552083332,2024-12-26_09:37:16_(18216)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.023474178403755867,35.0,37.0,0.2,1.028169014084507,0.2224462890625,2024-12-26_09:37:36_(18217)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.023474178403755867,35.0,32.0,0.2,1.0344287949921753,0.194248046875,2024-12-26_09:37:36_(18217)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.023547880690737835,36.0,39.0,0.2,1.0297805642633229,0.2325537109375,2024-12-26_09:37:47_(18218)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.023547880690737835,35.0,39.0,0.2,1.028125,0.23438313802083333,2024-12-26_09:37:47_(18218)_sardine_input_(1).png,yes,yes
,,,,,,,,,,,2024-12-26_09:37:57_(18219)_sardine_input.jpeg,yes,no
15.0,4.0,15.0,15.0,2.0,0.024193548387096774,35.0,48.0,0.26666666666666666,1.0377952755905513,0.27139485677083336,2024-12-26_09:38:08_(18220)_sardine_input_(0).png,yes,yes
15.0,4.0,15.0,15.0,2.0,0.024193548387096774,37.0,42.0,0.26666666666666666,1.0379746835443038,0.2350341796875,2024-12-26_09:38:08_(18220)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.02358490566037736,36.0,32.0,0.2,1.0188087774294672,0.19106282552083334,2024-12-26_09:38:16_(18221)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.02358490566037736,35.0,35.0,0.2,1.0312989045383412,0.2050732421875,2024-12-26_09:38:16_(18221)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.02365930599369085,35.0,40.0,0.2,1.028169014084507,0.2333544921875,2024-12-26_09:38:29_(18222)_sardine_input_(0).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.02365930599369085,34.0,38.0,0.21428571428571427,1.0268987341772151,0.22606770833333334,2024-12-26_09:38:29_(18222)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.02388535031847134,35.0,38.0,0.2,1.0234741784037558,0.21700846354166667,2024-12-26_09:38:42_(18223)_sardine_input_(0).png,yes,yes
15.0,4.0,15.0,15.0,2.0,0.02388535031847134,37.0,43.0,0.26666666666666666,1.0438184663536776,0.24776204427083334,2024-12-26_09:38:42_(18223)_sardine_input_(1).png,yes,yes
15.0,6.0,16.0,15.0,2.0,0.02365930599369085,38.0,38.0,0.4,1.0754716981132075,0.2244677734375,2024-12-26_09:38:53_(18224)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.02365930599369085,35.0,34.0,0.2,1.0250391236306728,0.20117024739583333,2024-12-26_09:38:53_(18224)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.023923444976076555,36.0,39.0,0.2,1.0312989045383412,0.22384602864583333,2024-12-26_09:39:03_(18225)_sardine_input_(0).png,yes,yes
