FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
19.0,5.0,20.0,15.0,2.0,0.007403751233958539,48.0,53.0,0.2631578947368421,1.0317282568122434,0.1364196527777778,20241203101633092_sardine_bad_(0).png,yes,yes
19.0,4.0,19.0,15.0,2.0,0.007403751233958539,48.0,49.0,0.21052631578947367,1.0251353441608662,0.12511555555555556,20241203101633092_sardine_bad_(1).png,yes,yes
16.0,3.0,16.0,15.0,1.0,0.007125890736342043,41.0,36.0,0.1875,1.0263736263736263,0.10042680555555555,20241203101646860_sardine_bad_(0).png,yes,yes
18.0,4.0,19.0,15.0,1.0,0.007125890736342043,48.0,42.0,0.2222222222222222,1.025321239606954,0.11723090277777778,20241203101646860_sardine_bad_(1).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007122507122507123,43.0,42.0,0.23529411764705882,1.0323785803237857,0.11560020833333333,20241203101658517_sardine_bad_(0).png,yes,yes
17.0,3.0,17.0,15.0,1.0,0.007122507122507123,42.0,36.0,0.17647058823529413,1.0213032581453634,0.10065097222222222,20241203101658517_sardine_bad_(1).png,yes,yes
,,,,,,,,,,,20241203101710001_sardine_bad.jpeg,yes,no
,,,,,,,,,,,20241203101723059_sardine_bad.jpeg,yes,no
18.0,4.0,18.0,15.0,1.0,0.006902899217671422,46.0,46.0,0.2222222222222222,1.0312380952380953,0.13476152777777778,20241203101734348_sardine_bad_(0).png,yes,yes
17.0,3.0,17.0,15.0,1.0,0.006902899217671422,44.0,40.0,0.17647058823529413,1.0192153722978383,0.11915152777777778,20241203101734348_sardine_bad_(1).png,yes,yes
,,,,,,,,,,,20241203101759008_sardine_bad.jpeg,yes,no
,,,,,,,,,,,20241203101759691_sardine_bad.jpeg,yes,no
,,,,,,,,,,,20241203101800403_sardine_bad.jpeg,yes,no
,,,,,,,,,,,20241203101802066_sardine_bad.jpeg,yes,no
,,,,,,,,,,,20241203101815035_sardine_bad.jpeg,yes,no
18.0,4.0,18.0,15.0,2.0,0.008635578583765112,45.0,51.0,0.2222222222222222,1.0318138651471984,0.09508034722222222,20241203101826978_sardine_bad_(0).png,yes,yes
18.0,6.0,19.0,15.0,2.0,0.008635578583765112,46.0,50.0,0.3333333333333333,1.054003724394786,0.094551875,20241203101826978_sardine_bad_(1).png,yes,yes
17.0,4.0,17.0,15.0,2.0,0.00744047619047619,43.0,41.0,0.23529411764705882,1.0270152505446624,0.102950625,20241203101837335_sardine_bad_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.00744047619047619,47.0,54.0,0.23529411764705882,1.0280569514237856,0.13734333333333335,20241203101837335_sardine_bad_(1).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007541478129713424,45.0,42.0,0.23529411764705882,1.0333625987708517,0.10361541666666667,20241203101854297_sardine_bad_(0).png,yes,yes
18.0,5.0,19.0,15.0,1.0,0.007541478129713424,51.0,42.0,0.2777777777777778,1.0491052850603413,0.10431944444444445,20241203101854297_sardine_bad_(1).png,yes,yes
20.0,4.0,20.0,15.0,2.0,0.008161044613710556,50.0,53.0,0.2,1.022150624244865,0.11100125,20241203101905998_sardine_bad_(0).png,yes,yes
18.0,5.0,19.0,15.0,2.0,0.008161044613710556,46.0,47.0,0.2777777777777778,1.0378096479791394,0.09979055555555555,20241203101905998_sardine_bad_(1).png,yes,yes
18.0,3.0,18.0,15.0,3.0,0.008034279592929834,46.0,46.0,0.16666666666666666,1.0217584369449377,0.100996875,20241203101934843_sardine_bad_(0).png,yes,yes
19.0,4.0,19.0,15.0,3.0,0.008034279592929834,49.0,48.0,0.21052631578947367,1.0234567901234568,0.10447729166666667,20241203101934843_sardine_bad_(1).png,yes,yes
19.0,5.0,20.0,15.0,2.0,0.007180469123982767,48.0,48.0,0.2631578947368421,1.0383351588170866,0.12992541666666665,20241203101953510_sardine_bad_(0).png,yes,yes
16.0,3.0,17.0,15.0,2.0,0.007180469123982767,43.0,40.0,0.1875,1.0245243128964059,0.10832194444444444,20241203101953510_sardine_bad_(1).png,yes,yes
