FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
22,7,23,15,3,0.008849557522123894,55,60,0.3181818181818182,1.0589887640449438,0.107849375,20241224095121831_sardine_bad_(0).png,yes,yes
19,5,20,15,3,0.008849557522123894,48,47,0.2631578947368421,1.0406320541760723,0.08359680555555556,20241224095121831_sardine_bad_(1).png,yes,yes
14,3,14,15,2,0.006941230911614993,36,30,0.21428571428571427,1.02291169451074,0.08739861111111111,20241226094548477_sardine_bad_(0).png,yes,yes
16,3,16,15,2,0.006941230911614993,40,38,0.1875,1.0301464254952628,0.11021895833333334,20241226094548477_sardine_bad_(1).png,yes,yes
16,4,16,15,2,0.006490696668109044,39,36,0.25,1.0418342719227676,0.11925222222222222,20241226094600896_sardine_bad_(0).png,yes,yes
15,4,15,15,2,0.006490696668109044,36,30,0.26666666666666666,1.0407375643224699,0.101384375,20241226094600896_sardine_bad_(1).png,yes,yes
13,3,13,15,2,0.006521739130434782,34,25,0.23076923076923078,1.0318994683421943,0.0845617361111111,20241226094613766_sardine_bad_(0).png,yes,yes
16,3,17,15,2,0.006521739130434782,41,35,0.1875,1.0206547155105221,0.11659888888888889,20241226094613766_sardine_bad_(1).png,yes,yes
15,3,16,15,2,0.00684931506849315,38,36,0.2,1.0207612456747406,0.10752409722222223,20241226094624243_sardine_bad_(0).png,yes,yes
18,4,18,15,2,0.00684931506849315,44,49,0.2222222222222222,1.025426944971537,0.1475548611111111,20241226094624243_sardine_bad_(1).png,yes,yes
14,4,15,15,2,0.006702412868632708,35,31,0.2857142857142857,1.0427979751495629,0.09701888888888889,20241226094640547_sardine_bad_(0).png,yes,yes
16,3,16,15,2,0.006702412868632708,40,37,0.1875,1.019838056680162,0.11734673611111111,20241226094640547_sardine_bad_(1).png,yes,yes
17,3,18,15,2,0.006631299734748011,45,41,0.17647058823529413,1.0175373134328358,0.13056965277777777,20241226094651842_sardine_bad_(0).png,yes,yes
17,3,17,15,2,0.006631299734748011,43,39,0.17647058823529413,1.0225330225330225,0.1243188888888889,20241226094651842_sardine_bad_(1).png,yes,yes
14,2,15,15,1,0.0064710957722174285,36,28,0.14285714285714285,1.0197715289982425,0.09553402777777778,20241226094702453_sardine_bad_(0).png,yes,yes
15,3,15,15,1,0.0064710957722174285,37,31,0.2,1.0228233305156382,0.10287902777777778,20241226094702453_sardine_bad_(1).png,yes,yes
11,4,12,15,1,0.0064710957722174285,31,42,0.36363636363636365,1.0665176076020122,0.14037326388888888,20241226094702453_sardine_bad_(2).png,yes,yes
15,3,15,15,1,0.00702576112412178,38,33,0.2,1.0235892691951896,0.09428416666666667,20241226094714380_sardine_bad_(0).png,yes,yes
14,3,15,15,1,0.00702576112412178,37,30,0.21428571428571427,1.0261406844106464,0.08493791666666667,20241226094714380_sardine_bad_(1).png,yes,yes
16,3,16,15,2,0.007221954742416947,40,35,0.1875,1.0198466396030672,0.09428798611111111,20241226094727138_sardine_bad_(0).png,yes,yes
16,3,17,15,2,0.007221954742416947,41,38,0.1875,1.0205655526992288,0.10226527777777777,20241226094727138_sardine_bad_(1).png,yes,yes
17,4,17,15,2,0.00751503006012024,41,42,0.23529411764705882,1.0357610117749674,0.10486444444444444,20241226094740900_sardine_bad_(0).png,yes,yes
17,4,17,15,2,0.00751503006012024,42,44,0.23529411764705882,1.03470715835141,0.10895527777777778,20241226094740900_sardine_bad_(1).png,yes,yes
18,4,18,15,2,0.006902899217671422,46,45,0.2222222222222222,1.0291076216009192,0.13288479166666667,20241226094835935_sardine_bad_(0).png,yes,yes
15,3,16,15,2,0.006902899217671422,39,32,0.2,1.0249017038007864,0.09366375,20241226094835935_sardine_bad_(1).png,yes,yes
16,3,17,15,2,0.006421232876712328,40,40,0.1875,1.0234705656021548,0.1377413888888889,20241226094846454_sardine_bad_(0).png,yes,yes
14,3,15,15,2,0.006421232876712328,35,32,0.21428571428571427,1.0294505494505495,0.10791118055555556,20241226094846454_sardine_bad_(1).png,yes,yes
