FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
18,5,19,15,2,0.0073818897637795275,47,48,0.2777777777777778,1.0428122545168892,0.12256166666666667,20250123103059718_sardine_bad_(0).png,yes,yes
20,6,21,15,2,0.0073818897637795275,50,52,0.3,1.0474972597734746,0.13323458333333332,20250123103059718_sardine_bad_(1).png,yes,yes
17,5,18,15,2,0.006297229219143577,43,42,0.29411764705882354,1.0498194945848376,0.1496853472222222,20250123103117271_sardine_bad_(0).png,yes,yes
15,3,16,15,2,0.006297229219143577,37,38,0.2,1.0284810126582278,0.13309902777777777,20250123103117271_sardine_bad_(1).png,yes,yes
18,4,19,15,2,0.007349338559529643,47,45,0.2222222222222222,1.0326043737574553,0.11715472222222222,20250123103140243_sardine_bad_(0).png,yes,yes
17,3,18,15,2,0.007349338559529643,45,43,0.17647058823529413,1.0220282626766417,0.11161083333333334,20250123103140243_sardine_bad_(1).png,yes,yes
18,4,19,15,2,0.007149666348903718,47,48,0.2222222222222222,1.0230326295585412,0.1313601388888889,20250123103205717_sardine_bad_(0).png,yes,yes
19,3,20,15,2,0.007149666348903718,49,50,0.15789473684210525,1.0195086705202312,0.13640902777777777,20250123103205717_sardine_bad_(1).png,yes,yes
18,5,19,15,2,0.007211538461538462,47,48,0.2777777777777778,1.0418476115278326,0.12915791666666668,20250123103619590_sardine_bad_(0).png,yes,yes
17,4,18,15,2,0.007211538461538462,45,40,0.23529411764705882,1.02519301097115,0.10784270833333333,20250123103619590_sardine_bad_(1).png,yes,yes
15,4,15,15,2,0.0075528700906344415,38,32,0.26666666666666666,1.0337468982630273,0.08007368055555555,20250123103636699_sardine_bad_(0).png,yes,yes
16,3,16,15,2,0.0075528700906344415,39,32,0.1875,1.0221709006928406,0.07950486111111112,20250123103636699_sardine_bad_(1).png,yes,yes
13,3,14,15,2,0.007146260123868509,34,25,0.23076923076923078,1.0276923076923077,0.07042548611111112,20250123103649390_sardine_bad_(0).png,yes,yes
20,4,20,15,2,0.007146260123868509,50,50,0.2,1.0235378031383737,0.13660097222222223,20250123103649390_sardine_bad_(1).png,yes,yes
14,3,14,15,1,0.007360157016683023,36,30,0.21428571428571427,1.0206966178697627,0.07796423611111111,20250123103701407_sardine_bad_(0).png,yes,yes
18,3,18,15,1,0.007360157016683023,47,48,0.16666666666666666,1.0223107569721115,0.12348569444444445,20250123103701407_sardine_bad_(1).png,yes,yes
19,4,20,15,2,0.007183908045977011,48,47,0.21052631578947367,1.0315364869820316,0.12911381944444444,20250123103727100_sardine_bad_(0).png,yes,yes
18,5,18,15,2,0.007183908045977011,45,44,0.2777777777777778,1.0379446640316206,0.12083361111111111,20250123103727100_sardine_bad_(1).png,yes,yes
18,5,19,15,4,0.008077544426494346,49,54,0.2777777777777778,1.0447119518486672,0.11583659722222223,20250123104242549_sardine_bad_(0).png,yes,yes
15,6,16,15,4,0.008077544426494346,40,40,0.4,1.0717580727831881,0.0866626388888889,20250123104242549_sardine_bad_(1).png,yes,yes
15,5,16,15,2,0.006902899217671422,39,35,0.3333333333333333,1.0505992010652463,0.10289486111111111,20250123104301575_sardine_bad_(0).png,yes,yes
18,3,18,15,2,0.006902899217671422,43,39,0.16666666666666666,1.0207078313253013,0.116563125,20250123104301575_sardine_bad_(1).png,yes,yes
14,4,15,15,1,0.007062146892655367,37,33,0.2857142857142857,1.045754716981132,0.09216986111111111,20250123104319278_sardine_bad_(0).png,yes,yes
16,3,16,15,1,0.007062146892655367,40,37,0.1875,1.0256633318834276,0.10544736111111111,20250123104319278_sardine_bad_(1).png,yes,yes
13,3,14,15,1,0.006723442402510085,33,27,0.23076923076923078,1.0291686922702965,0.08541638888888889,20250123104330849_sardine_bad_(0).png,yes,yes
15,5,16,15,1,0.006723442402510085,38,38,0.3333333333333333,1.067503245348334,0.11875402777777777,20250123104330849_sardine_bad_(1).png,yes,yes
15,3,16,15,2,0.007048872180451127,38,36,0.2,1.0300044782803404,0.10278055555555556,20250123104341302_sardine_bad_(0).png,yes,yes
17,4,18,15,2,0.007048872180451127,43,47,0.23529411764705882,1.026576755255851,0.13291763888888888,20250123104341302_sardine_bad_(1).png,yes,yes
18,4,19,15,2,0.007253384912959381,46,52,0.2222222222222222,1.0284046692607003,0.13784097222222222,20250123104403529_sardine_bad_(0).png,yes,yes
17,4,18,15,2,0.007253384912959381,44,47,0.23529411764705882,1.027549342105263,0.12555604166666667,20250123104403529_sardine_bad_(1).png,yes,yes
14,4,15,15,2,0.0073818897637795275,38,33,0.2857142857142857,1.036102868447082,0.08651763888888889,20250123104414621_sardine_bad_(0).png,yes,yes
19,5,20,15,2,0.0073818897637795275,50,54,0.2631578947368421,1.0403436682853942,0.13770902777777777,20250123104414621_sardine_bad_(1).png,yes,yes
18,5,19,15,2,0.007759958613554061,47,50,0.2777777777777778,1.039832285115304,0.11595284722222222,20250123104428205_sardine_bad_(0).png,yes,yes
18,5,19,15,2,0.007759958613554061,47,49,0.2777777777777778,1.0420133111480865,0.11421291666666666,20250123104428205_sardine_bad_(1).png,yes,yes
16,5,17,15,2,0.007637474541751527,43,38,0.3125,1.0572072072072072,0.09233791666666667,20250123104513360_sardine_bad_(0).png,yes,yes
17,3,18,15,2,0.007637474541751527,42,39,0.17647058823529413,1.0185504745470233,0.09290583333333334,20250123104513360_sardine_bad_(1).png,yes,yes
16,3,16,15,1,0.006765899864682003,39,35,0.1875,1.0218855218855218,0.10686701388888889,20250123104525472_sardine_bad_(0).png,yes,yes
18,5,19,15,1,0.006765899864682003,42,43,0.2777777777777778,1.0461369461735628,0.13049972222222223,20250123104525472_sardine_bad_(1).png,yes,yes
