FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
15.0,4.0,16.0,15.0,2.0,0.02617801047120419,37.0,41.0,0.26666666666666666,1.0344827586206897,0.196416015625,2024-12-24_10:03:38_(18087)_sardine_input_(0).png,yes,yes
16.0,4.0,16.0,15.0,2.0,0.02617801047120419,38.0,43.0,0.25,1.035598705501618,0.20615559895833332,2024-12-24_10:03:38_(18087)_sardine_input_(1).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.02697841726618705,37.0,39.0,0.1875,1.0282861896838602,0.17501139322916667,2024-12-24_10:03:47_(18088)_sardine_input_(0).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.02697841726618705,37.0,43.0,0.1875,1.0231788079470199,0.19378255208333334,2024-12-24_10:03:47_(18088)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.024752475247524754,35.0,38.0,0.2,1.024,0.2048388671875,2024-12-24_10:03:55_(18089)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.024752475247524754,34.0,36.0,0.2,1.0214521452145215,0.19283365885416667,2024-12-24_10:03:55_(18089)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.02586206896551724,37.0,38.0,0.2,1.0251677852348993,0.18770833333333334,2024-12-24_10:04:04_(18090)_sardine_input_(0).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.02586206896551724,39.0,41.0,0.1875,1.0253968253968253,0.20298828125,2024-12-24_10:04:04_(18090)_sardine_input_(1).png,yes,yes
16.0,3.0,16.0,15.0,1.0,0.025380710659898477,37.0,41.0,0.1875,1.0253164556962024,0.20981770833333332,2024-12-24_10:04:11_(18091)_sardine_input_(0).png,yes,yes
16.0,4.0,16.0,15.0,1.0,0.025380710659898477,37.0,40.0,0.25,1.0300632911392404,0.2021923828125,2024-12-24_10:04:11_(18091)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.02471169686985173,35.0,39.0,0.2,1.0274193548387096,0.210244140625,2024-12-24_10:04:19_(18092)_sardine_input_(0).png,yes,yes
15.0,4.0,15.0,15.0,2.0,0.02471169686985173,37.0,37.0,0.26666666666666666,1.0338709677419355,0.20155436197916668,2024-12-24_10:04:19_(18092)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.025728987993138937,34.0,44.0,0.2,1.0308219178082192,0.21759765625,2024-12-24_10:04:27_(18093)_sardine_input_(0).png,yes,yes
15.0,4.0,15.0,15.0,2.0,0.025728987993138937,35.0,46.0,0.26666666666666666,1.033955857385399,0.22919108072916666,2024-12-24_10:04:27_(18093)_sardine_input_(1).png,yes,yes
15.0,3.0,16.0,15.0,1.0,0.024875621890547265,38.0,45.0,0.2,1.028125,0.23930501302083335,2024-12-24_10:04:34_(18094)_sardine_input_(0).png,yes,yes
15.0,3.0,16.0,15.0,1.0,0.024875621890547265,36.0,38.0,0.2,1.0203761755485894,0.2036279296875,2024-12-24_10:04:34_(18094)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.025167785234899327,36.0,36.0,0.2,1.023102310231023,0.1889111328125,2024-12-24_10:04:47_(18095)_sardine_input_(0).png,yes,yes
16.0,3.0,16.0,15.0,1.0,0.025167785234899327,39.0,39.0,0.1875,1.0203761755485894,0.201796875,2024-12-24_10:04:47_(18095)_sardine_input_(1).png,yes,yes
14.0,3.0,14.0,15.0,1.0,0.031315240083507306,33.0,40.0,0.21428571428571427,1.030701754385965,0.13485677083333333,2024-12-24_10:05:05_(18096)_sardine_input_(0).png,yes,yes
14.0,3.0,14.0,15.0,1.0,0.031315240083507306,33.0,41.0,0.21428571428571427,1.0304347826086957,0.13706217447916666,2024-12-24_10:05:05_(18096)_sardine_input_(1).png,yes,yes
14.0,3.0,14.0,15.0,1.0,0.031315240083507306,33.0,40.0,0.21428571428571427,1.0354767184035476,0.133095703125,2024-12-24_10:05:14_(18097)_sardine_input_(0).png,yes,yes
15.0,4.0,15.0,15.0,1.0,0.031315240083507306,35.0,47.0,0.26666666666666666,1.0354906054279749,0.1579296875,2024-12-24_10:05:14_(18097)_sardine_input_(1).png,yes,yes
16.0,4.0,16.0,15.0,2.0,0.029644268774703556,40.0,36.0,0.25,1.0422018348623854,0.13380859375,2024-12-24_10:05:29_(18098)_sardine_input_(0).png,yes,yes
16.0,3.0,17.0,15.0,2.0,0.029644268774703556,39.0,45.0,0.1875,1.0265486725663717,0.1672900390625,2024-12-24_10:05:29_(18098)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.031315240083507306,34.0,37.0,0.2,1.0250521920668059,0.1249609375,2024-12-24_10:05:41_(18099)_sardine_input_(0).png,yes,yes
15.0,4.0,15.0,15.0,1.0,0.031315240083507306,37.0,46.0,0.26666666666666666,1.048016701461378,0.15598307291666666,2024-12-24_10:05:41_(18099)_sardine_input_(1).png,yes,yes
16.0,5.0,17.0,15.0,1.0,0.027675276752767528,41.0,38.0,0.3125,1.0544554455445545,0.16155598958333334,2024-12-24_10:05:56_(18100)_sardine_input_(0).png,yes,yes
16.0,4.0,17.0,15.0,1.0,0.027675276752767528,58.0,39.0,0.25,1.0281456953642385,0.1662548828125,2024-12-24_10:05:56_(18100)_sardine_input_(1).png,yes,yes
,,,,,,,,,,,2024-12-24_10:06:07_(18101)_sardine_input.jpeg,yes,no
,,,,,,,,,,,2024-12-24_10:06:18_(18102)_sardine_input.jpeg,yes,no
,,,,,,,,,,,2024-12-24_10:06:27_(18103)_sardine_input.jpeg,yes,no
15.0,3.0,16.0,15.0,1.0,0.02471169686985173,35.0,43.0,0.2,1.0284810126582278,0.230244140625,2024-12-24_10:06:35_(18104)_sardine_input_(0).png,yes,yes
15.0,3.0,16.0,15.0,1.0,0.02471169686985173,36.0,44.0,0.2,1.0250391236306728,0.23484212239583332,2024-12-24_10:06:35_(18104)_sardine_input_(1).png,yes,yes
,,,,,,,,,,,2024-12-24_10:06:43_(18105)_sardine_input.jpeg,yes,no
,,,,,,,,,,,2024-12-24_10:06:51_(18106)_sardine_input.jpeg,yes,no
,,,,,,,,,,,2024-12-24_10:07:01_(18107)_sardine_input.jpeg,yes,no
15.0,3.0,15.0,15.0,1.0,0.025380710659898477,36.0,36.0,0.2,1.0219966159052454,0.18498209635416665,2024-12-24_10:07:07_(18108)_sardine_input_(0).png,yes,yes
15.0,3.0,16.0,15.0,1.0,0.025380710659898477,37.0,39.0,0.2,1.022508038585209,0.20198567708333334,2024-12-24_10:07:07_(18108)_sardine_input_(1).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.024834437086092714,36.0,41.0,0.2,1.0270700636942676,0.21754231770833332,2024-12-24_10:07:17_(18109)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.024834437086092714,35.0,37.0,0.2,1.0210696920583469,0.19642252604166666,2024-12-24_10:07:17_(18109)_sardine_input_(1).png,yes,yes
,,,,,,,,,,,2024-12-24_10:07:26_(18110)_sardine_input.jpeg,yes,no
15.0,3.0,15.0,15.0,2.0,0.024193548387096774,36.0,42.0,0.2,1.02660406885759,0.234892578125,2024-12-24_10:07:33_(18111)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.024193548387096774,36.0,36.0,0.2,1.0203442879499218,0.20289876302083334,2024-12-24_10:07:33_(18111)_sardine_input_(1).png,yes,yes
,,,,,,,,,,,2024-12-24_10:07:41_(18112)_sardine_input.jpeg,yes,no
14.0,3.0,15.0,15.0,2.0,0.024875621890547265,33.0,41.0,0.21428571428571427,1.028813559322034,0.22021321614583333,2024-12-24_10:07:49_(18113)_sardine_input_(0).png,yes,yes
