FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
18.0,4.0,18.0,15.0,1.0,0.00648228176318064,45.0,43.0,0.2222222222222222,1.02588066139468,0.14273395833333333,20241203100124183_sardine_good_(0).png,yes,yes
17.0,5.0,18.0,15.0,1.0,0.00648228176318064,43.0,42.0,0.29411764705882354,1.041195771053591,0.1403801388888889,20241203100124183_sardine_good_(1).png,yes,yes
18.0,4.0,18.0,15.0,1.0,0.00727802037845706,45.0,46.0,0.2222222222222222,1.0242033077853974,0.12066041666666667,20241203100206812_sardine_good_(0).png,yes,yes
21.0,4.0,22.0,15.0,1.0,0.00727802037845706,53.0,57.0,0.19047619047619047,1.0208613728129206,0.1502198611111111,20241203100206812_sardine_good_(1).png,yes,yes
16.0,4.0,17.0,15.0,2.0,0.007052186177715092,41.0,37.0,0.25,1.0292001692763437,0.10441527777777777,20241203100249051_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.007052186177715092,46.0,44.0,0.23529411764705882,1.0341310317771675,0.12479222222222222,20241203100249051_sardine_good_(1).png,yes,yes
17.0,3.0,18.0,15.0,1.0,0.006702412868632708,45.0,44.0,0.17647058823529413,1.024015009380863,0.1372229861111111,20241203100313254_sardine_good_(0).png,yes,yes
18.0,3.0,18.0,15.0,1.0,0.006702412868632708,46.0,44.0,0.16666666666666666,1.0192937750273026,0.13609645833333334,20241203100313254_sardine_good_(1).png,yes,yes
18.0,7.0,19.0,15.0,1.0,0.007194244604316547,47.0,43.0,0.3888888888888889,1.0894405043341213,0.11703722222222222,20241203100337605_sardine_good_(0).png,yes,yes
16.0,3.0,16.0,15.0,1.0,0.007194244604316547,38.0,37.0,0.1875,1.024944320712695,0.10115875,20241203100337605_sardine_good_(1).png,yes,yes
18.0,3.0,18.0,15.0,1.0,0.006934812760055479,46.0,45.0,0.16666666666666666,1.0224215246636772,0.13067583333333332,20241203100359727_sardine_good_(0).png,yes,yes
18.0,4.0,19.0,15.0,1.0,0.006934812760055479,46.0,45.0,0.2222222222222222,1.0230568984752697,0.13075791666666667,20241203100359727_sardine_good_(1).png,yes,yes
,,,,,,,,,,,20241203100420605_sardine_good.jpeg,yes,no
,,,,,,,,,,,20241203100658856_sardine_good.jpeg,yes,no
,,,,,,,,,,,20241203100732766_sardine_good.jpeg,yes,no
,,,,,,,,,,,20241203100747565_sardine_good.jpeg,yes,no
,,,,,,,,,,,20241203100810557_sardine_good.jpeg,yes,no
17.0,4.0,17.0,15.0,2.0,0.006909258406264394,42.0,38.0,0.23529411764705882,1.0309646685192537,0.11173395833333333,20241203100821720_sardine_good_(0).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.006909258406264394,44.0,41.0,0.16666666666666666,1.0215745647236942,0.12100520833333334,20241203100821720_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,2.0,0.0070126227208976155,43.0,39.0,0.23529411764705882,1.0315406389001214,0.11275201388888889,20241203100855668_sardine_good_(0).png,yes,yes
18.0,3.0,19.0,15.0,2.0,0.0070126227208976155,47.0,45.0,0.16666666666666666,1.019051176690325,0.12890354166666668,20241203100855668_sardine_good_(1).png,yes,yes
16.0,4.0,17.0,15.0,3.0,0.007688364941055869,43.0,46.0,0.25,1.031717263253285,0.108339375,20241203100917741_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,3.0,0.007688364941055869,41.0,42.0,0.23529411764705882,1.0301552106430156,0.09960159722222223,20241203100917741_sardine_good_(1).png,yes,yes
,,,,,,,,,,,20241203100926295_sardine_good.jpeg,yes,no
19.0,4.0,20.0,15.0,2.0,0.008955223880597015,46.0,52.0,0.21052631578947367,1.0279304029304028,0.09126631944444444,20241203100945909_sardine_good_(0).png,yes,yes
19.0,4.0,19.0,15.0,2.0,0.008955223880597015,48.0,55.0,0.21052631578947367,1.0302748020493713,0.09641958333333334,20241203100945909_sardine_good_(1).png,yes,yes
19.0,4.0,20.0,15.0,2.0,0.00865051903114187,48.0,57.0,0.21052631578947367,1.025054945054945,0.10681930555555555,20241203101243199_sardine_good_(0).png,yes,yes
19.0,5.0,20.0,15.0,2.0,0.00865051903114187,48.0,59.0,0.2631578947368421,1.0367713004484305,0.11081583333333334,20241203101243199_sardine_good_(1).png,yes,yes
15.0,5.0,16.0,15.0,1.0,0.006291946308724832,39.0,34.0,0.3333333333333333,1.05229793977813,0.12254680555555555,20241203101308900_sardine_good_(0).png,yes,yes
16.0,3.0,16.0,15.0,1.0,0.006291946308724832,40.0,37.0,0.1875,1.0286697247706422,0.13238416666666666,20241203101308900_sardine_good_(1).png,yes,yes
18.0,4.0,18.0,15.0,1.0,0.00723589001447178,45.0,42.0,0.2222222222222222,1.031150159744409,0.11190631944444444,20241203101342847_sardine_good_(0).png,yes,yes
18.0,3.0,18.0,15.0,1.0,0.00723589001447178,47.0,46.0,0.16666666666666666,1.0219006648416114,0.12408375,20241203101342847_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.007422068283028204,43.0,47.0,0.23529411764705882,1.0268569030633654,0.12058875,20241203101352943_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.007422068283028204,45.0,49.0,0.2222222222222222,1.0294711344368188,0.12391819444444445,20241203101352943_sardine_good_(1).png,yes,yes
18.0,3.0,19.0,15.0,2.0,0.007136060894386299,47.0,48.0,0.16666666666666666,1.0213822069492173,0.13184625,20241203101443976_sardine_good_(0).png,yes,yes
18.0,5.0,19.0,15.0,2.0,0.007136060894386299,46.0,39.0,0.2777777777777778,1.0361766945925361,0.10768756944444445,20241203101443976_sardine_good_(1).png,yes,yes
,,,,,,,,,,,20241203101509104_sardine_good.jpeg,yes,no
16.0,3.0,17.0,15.0,2.0,0.00706547338671691,40.0,37.0,0.1875,1.0277185501066097,0.10415548611111111,20241203101529773_sardine_good_(0).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.00706547338671691,43.0,42.0,0.17647058823529413,1.0210135970333745,0.11848791666666666,20241203101529773_sardine_good_(1).png,yes,yes
18.0,3.0,18.0,15.0,1.0,0.007772020725388601,42.0,44.0,0.16666666666666666,1.020680741059888,0.10266298611111112,20241203101542756_sardine_good_(0).png,yes,yes
19.0,6.0,20.0,15.0,1.0,0.007772020725388601,47.0,47.0,0.3157894736842105,1.0554880518428513,0.11006944444444444,20241203101542756_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,1.0,0.006893382352941176,45.0,46.0,0.23529411764705882,1.0363355237727097,0.13631513888888888,20241207123834681_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,1.0,0.006893382352941176,43.0,43.0,0.23529411764705882,1.0269005847953216,0.12612993055555555,20241207123834681_sardine_good_(1).png,yes,yes
,,,,,,,,,,,20241207123931656_sardine_good.jpeg,yes,no
16.0,3.0,16.0,15.0,1.0,0.0072254335260115606,40.0,40.0,0.1875,1.0222707423580786,0.10747111111111111,20241207123946036_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,1.0,0.0072254335260115606,45.0,46.0,0.2222222222222222,1.0352,0.123656875,20241207123946036_sardine_good_(1).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.007170172084130019,43.0,44.0,0.16666666666666666,1.0194213238208483,0.12126618055555556,20241207123954064_sardine_good_(0).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.007170172084130019,42.0,41.0,0.16666666666666666,1.021420071400238,0.11156451388888888,20241207123954064_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007676560900716479,41.0,43.0,0.23529411764705882,1.0359550561797752,0.10220659722222222,20241207124013273_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007676560900716479,42.0,42.0,0.23529411764705882,1.027232142857143,0.100359375,20241207124013273_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007676560900716479,41.0,43.0,0.23529411764705882,1.0359550561797752,0.10220659722222222,20241207124025476_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007676560900716479,42.0,42.0,0.23529411764705882,1.027232142857143,0.100359375,20241207124025476_sardine_good_(1).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.006931608133086876,41.0,36.0,0.1875,1.0212765957446808,0.10662951388888889,20241212104349089_sardine_good_(0).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.006931608133086876,43.0,40.0,0.17647058823529413,1.025366627031312,0.11609791666666666,20241212104349089_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.007302823758519961,45.0,42.0,0.17647058823529413,1.0227272727272727,0.11030736111111111,20241212104401681_sardine_good_(0).png,yes,yes
17.0,3.0,18.0,15.0,2.0,0.007302823758519961,45.0,40.0,0.17647058823529413,1.023073753605274,0.106460625,20241212104401681_sardine_good_(1).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.007874015748031496,46.0,42.0,0.2222222222222222,1.027538726333907,0.09518152777777777,20241212104432013_sardine_good_(0).png,yes,yes
18.0,4.0,19.0,15.0,2.0,0.007874015748031496,48.0,46.0,0.2222222222222222,1.0335171828595673,0.10342,20241212104432013_sardine_good_(1).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.007936507936507936,48.0,49.0,0.16666666666666666,1.0200426439232408,0.108569375,20241212104443880_sardine_good_(0).png,yes,yes
19.0,4.0,19.0,15.0,2.0,0.007936507936507936,48.0,49.0,0.21052631578947367,1.0288184438040346,0.11011923611111112,20241212104443880_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008201202843083653,46.0,45.0,0.23529411764705882,1.0295220243673853,0.092933125,20241212104500916_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.008201202843083653,45.0,44.0,0.2222222222222222,1.0279783393501805,0.09089243055555556,20241212104500916_sardine_good_(1).png,yes,yes
16.0,4.0,17.0,15.0,2.0,0.008012820512820512,43.0,40.0,0.25,1.036104513064133,0.0874625,20241212104514134_sardine_good_(0).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.008012820512820512,47.0,47.0,0.16666666666666666,1.0208423795049935,0.10336125,20241212104514134_sardine_good_(1).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.0089179548156956,46.0,44.0,0.2222222222222222,1.0315994166261546,0.07738263888888888,20241212104524805_sardine_good_(0).png,yes,yes
16.0,4.0,17.0,15.0,2.0,0.0089179548156956,42.0,38.0,0.25,1.0300751879699248,0.06803631944444445,20241212104524805_sardine_good_(1).png,yes,yes
18.0,6.0,19.0,15.0,2.0,0.009566326530612245,45.0,40.0,0.3333333333333333,1.0607966457023061,0.061791875,20241212104540547_sardine_good_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.009566326530612245,40.0,35.0,0.2,1.0306825297432687,0.053491111111111114,20241212104540547_sardine_good_(1).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.009191176470588236,45.0,46.0,0.2222222222222222,1.0260782347041124,0.07578597222222222,20241212104556878_sardine_good_(0).png,yes,yes
19.0,3.0,19.0,15.0,2.0,0.009191176470588236,47.0,48.0,0.15789473684210525,1.0191204588910134,0.07914819444444444,20241212104556878_sardine_good_(1).png,yes,yes
19.0,3.0,19.0,15.0,2.0,0.008586147681740127,47.0,48.0,0.15789473684210525,1.0216606498194947,0.09054958333333334,20241212104621516_sardine_good_(0).png,yes,yes
18.0,4.0,19.0,15.0,2.0,0.008586147681740127,50.0,49.0,0.2222222222222222,1.0280924331671952,0.09357916666666667,20241212104621516_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008736167734420501,41.0,41.0,0.23529411764705882,1.0377263581488934,0.07526875,20241212104634780_sardine_good_(0).png,yes,yes
