FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
17.0,3.0,18.0,15.0,2.0,0.008955223880597015,44.0,48.0,0.17647058823529413,1.0233029381965553,0.08353319444444444,20241224095105563_sardine_good_(0).png,yes,yes
17.0,3.0,18.0,15.0,2.0,0.008955223880597015,43.0,45.0,0.17647058823529413,1.023653749370911,0.07796034722222223,20241224095105563_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,1.0,0.007270964614638876,45.0,43.0,0.23529411764705882,1.0315091210613598,0.11461881944444445,20241224095154440_sardine_good_(0).png,yes,yes
18.0,3.0,18.0,15.0,1.0,0.007270964614638876,47.0,44.0,0.16666666666666666,1.021594032194739,0.11576611111111111,20241224095154440_sardine_good_(1).png,yes,yes
16.0,3.0,17.0,15.0,2.0,0.007680491551459293,41.0,43.0,0.1875,1.0264116575591986,0.10175854166666666,20241224095202708_sardine_good_(0).png,yes,yes
19.0,4.0,19.0,15.0,2.0,0.007680491551459293,46.0,50.0,0.21052631578947367,1.025179856115108,0.11987180555555556,20241224095202708_sardine_good_(1).png,yes,yes
8.0,1.0,8.0,15.0,2.0,0.007680491551459293,17.0,4.0,0.125,1.0105465004793863,0.011508125,20241224095202708_sardine_good_(2).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008138903960933261,44.0,41.0,0.23529411764705882,1.0319444444444446,0.08731472222222222,20241224095216714_sardine_good_(0).png,yes,yes
19.0,3.0,19.0,15.0,2.0,0.008138903960933261,48.0,50.0,0.15789473684210525,1.0176470588235293,0.10598652777777778,20241224095216714_sardine_good_(1).png,yes,yes
17.0,3.0,18.0,15.0,2.0,0.007422068283028204,45.0,41.0,0.17647058823529413,1.0195751770095793,0.10535972222222222,20241224095238861_sardine_good_(0).png,yes,yes
