FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
18,5,19,15,2,0.007556675062972292,47,51,0.2777777777777778,1.0361247947454844,0.12568604166666666,20250123101930648_sardine_good_(0).png,yes,yes
19,4,20,15,2,0.007556675062972292,48,50,0.21052631578947367,1.0203065134099616,0.1219925,20250123101930648_sardine_good_(1).png,yes,yes
19,5,20,15,2,0.008125677139761646,49,51,0.2631578947368421,1.0406197654941374,0.10826951388888889,20250123101947263_sardine_good_(0).png,yes,yes
19,5,20,15,2,0.008125677139761646,48,51,0.2631578947368421,1.032085561497326,0.1075186111111111,20250123101947263_sardine_good_(1).png,yes,yes
17,4,17,15,2,0.007776049766718507,42,43,0.23529411764705882,1.028003613369467,0.09915173611111111,20250123101957610_sardine_good_(0).png,yes,yes
17,4,18,15,2,0.007776049766718507,43,45,0.23529411764705882,1.027534965034965,0.10436951388888889,20250123101957610_sardine_good_(1).png,yes,yes
17,5,18,15,2,0.007820646506777894,46,48,0.29411764705882354,1.0398423817863398,0.10909652777777777,20250123102021167_sardine_good_(0).png,yes,yes
17,4,18,15,2,0.007820646506777894,44,46,0.23529411764705882,1.0265217391304349,0.106441875,20250123102021167_sardine_good_(1).png,yes,yes
20,4,20,15,2,0.007751937984496124,52,55,0.2,1.0273708558211256,0.1276951388888889,20250123102042108_sardine_good_(0).png,yes,yes
20,5,21,15,2,0.007751937984496124,49,57,0.25,1.0375604313871327,0.1320670138888889,20250123102042108_sardine_good_(1).png,yes,yes
17,3,17,15,3,0.008426966292134831,43,44,0.17647058823529413,1.0244021473889702,0.08788722222222223,20250123102101452_sardine_good_(0).png,yes,yes
21,5,21,15,3,0.008426966292134831,50,56,0.23809523809523808,1.034551231135822,0.11091222222222222,20250123102101452_sardine_good_(1).png,yes,yes
18,5,19,15,2,0.0077559462254395035,46,45,0.2777777777777778,1.0489017820140902,0.10461055555555555,20250123102109640_sardine_good_(0).png,yes,yes
19,4,19,15,2,0.0077559462254395035,50,52,0.21052631578947367,1.0239253852392538,0.12170694444444445,20250123102109640_sardine_good_(1).png,yes,yes
18,4,19,15,3,0.007392804337111878,48,47,0.2222222222222222,1.029319781078968,0.12091513888888888,20250123102151761_sardine_good_(0).png,yes,yes
18,4,19,15,3,0.007392804337111878,47,46,0.2222222222222222,1.0254473161033797,0.11696777777777778,20250123102151761_sardine_good_(1).png,yes,yes
18,5,18,15,2,0.007466401194624191,45,45,0.2777777777777778,1.0371440363186133,0.11270784722222223,20250123102247413_sardine_good_(0).png,yes,yes
18,5,19,15,2,0.007466401194624191,44,43,0.2777777777777778,1.0402930402930404,0.10725180555555555,20250123102247413_sardine_good_(1).png,yes,yes
20,5,20,15,2,0.006805807622504537,50,52,0.25,1.037024570851565,0.15622715277777777,20250123102259804_sardine_good_(0).png,yes,yes
17,3,18,15,2,0.006805807622504537,44,42,0.17647058823529413,1.0174176448315033,0.12698020833333334,20250123102259804_sardine_good_(1).png,yes,yes
19,4,19,15,2,0.007808433107756377,49,46,0.21052631578947367,1.0326876513317191,0.10627583333333333,20250123102311482_sardine_good_(0).png,yes,yes
19,5,20,15,2,0.007808433107756377,48,53,0.2631578947368421,1.039484286865431,0.12096201388888889,20250123102311482_sardine_good_(1).png,yes,yes
18,4,18,15,2,0.007371007371007371,46,44,0.2222222222222222,1.0247900839664135,0.11463472222222222,20250123102324756_sardine_good_(0).png,yes,yes
19,3,20,15,2,0.007371007371007371,49,49,0.15789473684210525,1.0195195195195195,0.12683972222222223,20250123102324756_sardine_good_(1).png,yes,yes
20,4,20,15,2,0.007688364941055869,50,50,0.2,1.0221205186880244,0.1192561111111111,20250123102335766_sardine_good_(0).png,yes,yes
18,3,19,15,2,0.007688364941055869,48,45,0.16666666666666666,1.0211985324092947,0.10740180555555555,20250123102335766_sardine_good_(1).png,yes,yes
19,3,20,15,2,0.00715648854961832,50,51,0.15789473684210525,1.0172910662824208,0.1403640277777778,20250123102345065_sardine_good_(0).png,yes,yes
