FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
14.0,5.0,15.0,15.0,1.0,0.03253796095444685,36.0,28.0,0.35714285714285715,1.0788288288288288,0.0877392578125,2024-04-05_09_38_20_(10522)_sardine_input_(0).png,yes,yes
13.0,3.0,13.0,15.0,1.0,0.03253796095444685,32.0,27.0,0.23076923076923078,1.0240384615384615,0.083076171875,2024-04-05_09_38_20_(10522)_sardine_input_(1).png,yes,yes
13.0,2.0,13.0,15.0,1.0,0.03253796095444685,31.0,23.0,0.15384615384615385,1.0191846522781776,0.0727197265625,2024-04-05_09_38_20_(10522)_sardine_input_(2).png,yes,yes
13.0,2.0,14.0,15.0,1.0,0.034722222222222224,33.0,28.0,0.15384615384615385,1.02,0.07704752604166666,2024-04-05_09_38_37_(10523)_sardine_input_(0).png,yes,yes
13.0,3.0,14.0,15.0,1.0,0.034722222222222224,33.0,26.0,0.23076923076923078,1.0279187817258884,0.07054036458333333,2024-04-05_09_38_37_(10523)_sardine_input_(1).png,yes,yes
8.0,2.0,9.0,15.0,1.0,0.034722222222222224,22.0,20.0,0.25,1.0551181102362204,0.056455078125,2024-04-05_09_38_37_(10523)_sardine_input_(2).png,yes,yes
12.0,2.0,12.0,15.0,1.0,0.03296703296703297,29.0,21.0,0.16666666666666666,1.021798365122616,0.0647802734375,2024-04-05_09_38_57_(10524)_sardine_input_(0).png,yes,yes
14.0,3.0,15.0,15.0,1.0,0.03296703296703297,34.0,28.0,0.21428571428571427,1.0337078651685394,0.08649088541666666,2024-04-05_09_38_57_(10524)_sardine_input_(1).png,yes,yes
11.0,3.0,12.0,15.0,1.0,0.03296703296703297,28.0,20.0,0.2727272727272727,1.0535211267605633,0.06176106770833333,2024-04-05_09_38_57_(10524)_sardine_input_(2).png,yes,yes
13.0,4.0,14.0,15.0,2.0,0.04,35.0,23.0,0.3076923076923077,1.044378698224852,0.048543294270833336,2024-04-05_09_39_19_(10525)_sardine_input_(0).png,yes,yes
14.0,4.0,15.0,15.0,2.0,0.04,35.0,30.0,0.2857142857142857,1.0469613259668509,0.06278645833333334,2024-04-05_09_39_19_(10525)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.04,37.0,29.0,0.2,1.0183246073298429,0.0600048828125,2024-04-05_09_39_19_(10525)_sardine_input_(2).png,yes,yes
14.0,3.0,15.0,15.0,1.0,0.03289473684210526,36.0,28.0,0.21428571428571427,1.0266075388026608,0.08474446614583334,2024-04-05_09_39_40_(10526)_sardine_input_(0).png,yes,yes
13.0,2.0,13.0,15.0,1.0,0.03289473684210526,31.0,23.0,0.15384615384615385,1.02,0.07198079427083333,2024-04-05_09_39_40_(10526)_sardine_input_(1).png,yes,yes
12.0,2.0,13.0,15.0,1.0,0.03289473684210526,31.0,20.0,0.16666666666666666,1.0153846153846153,0.061593424479166665,2024-04-05_09_39_40_(10526)_sardine_input_(2).png,yes,yes
13.0,3.0,14.0,15.0,1.0,0.032119914346895075,33.0,26.0,0.23076923076923078,1.0404761904761906,0.08243326822916666,2024-04-05_09_39_58_(10527)_sardine_input_(0).png,yes,yes
13.0,3.0,13.0,15.0,1.0,0.032119914346895075,32.0,24.0,0.23076923076923078,1.0408653846153846,0.07809244791666667,2024-04-05_09_39_58_(10527)_sardine_input_(1).png,yes,yes
14.0,2.0,14.0,15.0,1.0,0.032119914346895075,34.0,28.0,0.14285714285714285,1.0204545454545455,0.08944661458333333,2024-04-05_09_39_58_(10527)_sardine_input_(2).png,yes,yes
13.0,3.0,13.0,15.0,1.0,0.03184713375796178,32.0,27.0,0.23076923076923078,1.0384615384615385,0.08832682291666667,2024-04-05_09_40_15_(10528)_sardine_input_(0).png,yes,yes
14.0,3.0,15.0,15.0,1.0,0.03184713375796178,33.0,31.0,0.21428571428571427,1.0214132762312633,0.10037272135416667,2024-04-05_09_40_15_(10528)_sardine_input_(1).png,yes,yes
13.0,4.0,14.0,15.0,1.0,0.03184713375796178,33.0,31.0,0.3076923076923077,1.0573394495412844,0.1012451171875,2024-04-05_09_40_15_(10528)_sardine_input_(2).png,yes,yes
14.0,4.0,14.0,15.0,1.0,0.031315240083507306,34.0,28.0,0.2857142857142857,1.0376106194690264,0.0931201171875,2024-04-05_09_40_32_(10529)_sardine_input_(0).png,yes,yes
13.0,3.0,14.0,15.0,1.0,0.031315240083507306,33.0,29.0,0.23076923076923078,1.0340909090909092,0.09772135416666666,2024-04-05_09_40_32_(10529)_sardine_input_(1).png,yes,yes
14.0,3.0,15.0,15.0,1.0,0.031315240083507306,35.0,32.0,0.21428571428571427,1.01890756302521,0.1078515625,2024-04-05_09_40_32_(10529)_sardine_input_(2).png,yes,yes
13.0,3.0,13.0,15.0,1.0,0.03225806451612903,32.0,28.0,0.23076923076923078,1.0315533980582525,0.08913899739583334,2024-04-05_09_40_50_(10530)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.03225806451612903,35.0,38.0,0.2,1.023157894736842,0.1210595703125,2024-04-05_09_40_50_(10530)_sardine_input_(1).png,yes,yes
14.0,3.0,14.0,15.0,1.0,0.03225806451612903,33.0,33.0,0.21428571428571427,1.0247191011235954,0.1033349609375,2024-04-05_09_40_50_(10530)_sardine_input_(2).png,yes,yes
15.0,4.0,15.0,15.0,1.0,0.031578947368421054,37.0,36.0,0.26666666666666666,1.0354166666666667,0.1196728515625,2024-04-05_09_41_11_(10531)_sardine_input_(0).png,yes,yes
13.0,2.0,13.0,15.0,1.0,0.031578947368421054,31.0,24.0,0.15384615384615385,1.0213270142180095,0.0788720703125,2024-04-05_09_41_11_(10531)_sardine_input_(1).png,yes,yes
12.0,2.0,12.0,15.0,1.0,0.031578947368421054,29.0,23.0,0.16666666666666666,1.0261780104712042,0.07734537760416667,2024-04-05_09_41_11_(10531)_sardine_input_(2).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.03138075313807531,36.0,36.0,0.21428571428571427,1.031512605042017,0.11926595052083333,2024-04-05_09_41_27_(10532)_sardine_input_(0).png,yes,yes
15.0,4.0,15.0,15.0,2.0,0.03138075313807531,36.0,42.0,0.26666666666666666,1.0460251046025104,0.14160481770833333,2024-04-05_09_41_27_(10532)_sardine_input_(1).png,yes,yes
