SegmentedFilename,FishDetected,ScaleDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio
2024-05-23_10_17_44_(13029)_sardine_input.jpeg,yes,no,,,,,,,,,,,
2024-05-23_10_18_11_(13030)_sardine_input.jpeg,yes,no,,,,,,,,,,,
2024-05-23_10_19_19_(13031)_sardine_input_(0).png,yes,yes,15.0,4.0,16.0,15.0,2.0,0.033860045146726865,36.0,48.0,0.26666666666666666,1.0433839479392624,0.1387939453125
2024-05-23_10_19_19_(13031)_sardine_input_(1).png,yes,yes,14.0,3.0,14.0,15.0,2.0,0.033860045146726865,35.0,29.0,0.21428571428571427,1.0257009345794392,0.08427408854166667
2024-05-23_10_19_19_(13031)_sardine_input_(2).png,yes,yes,14.0,3.0,15.0,15.0,2.0,0.033860045146726865,36.0,32.0,0.21428571428571427,1.0297482837528604,0.093408203125
2024-05-23_10_19_36_(13032)_sardine_input.jpeg,yes,no,,,,,,,,,,,
2024-05-23_10_19_48_(13033)_sardine_input_(0).png,yes,yes,15.0,3.0,16.0,15.0,2.0,0.03826530612244898,38.0,37.0,0.2,1.0269607843137254,0.08289225260416666
2024-05-23_10_19_48_(13033)_sardine_input_(1).png,yes,yes,16.0,3.0,16.0,15.0,2.0,0.03826530612244898,37.0,45.0,0.1875,1.0258823529411765,0.10100748697916667
2024-05-23_10_19_48_(13033)_sardine_input_(2).png,yes,yes,16.0,3.0,17.0,15.0,2.0,0.03826530612244898,42.0,40.0,0.1875,1.0227272727272727,0.08939778645833334
2024-05-23_10_20_02_(13034)_sardine_input_(0).png,yes,yes,16.0,4.0,16.0,15.0,1.0,0.03631961259079903,38.0,51.0,0.25,1.03125,0.1262255859375
2024-05-23_10_20_02_(13034)_sardine_input_(1).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.03631961259079903,34.0,41.0,0.2,1.026252983293556,0.10184244791666666
2024-05-23_10_20_02_(13034)_sardine_input_(2).png,yes,yes,16.0,4.0,16.0,15.0,1.0,0.03631961259079903,37.0,55.0,0.25,1.038548752834467,0.13590657552083332
2024-05-23_10_20_18_(13035)_sardine_input_(0).png,yes,yes,15.0,4.0,16.0,15.0,1.0,0.035629453681710214,37.0,39.0,0.26666666666666666,1.032036613272311,0.10090657552083333
2024-05-23_10_20_18_(13035)_sardine_input_(1).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.035629453681710214,35.0,34.0,0.2,1.0302325581395348,0.0893408203125
2024-05-23_10_20_18_(13035)_sardine_input_(2).png,yes,yes,15.0,5.0,16.0,15.0,1.0,0.035629453681710214,38.0,31.0,0.3333333333333333,1.0651162790697675,0.08186686197916666
2024-05-23_10_22_17_(13037)_sardine_input_(0).png,yes,yes,14.0,3.0,15.0,15.0,1.0,0.033632286995515695,34.0,41.0,0.21428571428571427,1.029612756264237,0.118203125
2024-05-23_10_22_17_(13037)_sardine_input_(1).png,yes,yes,14.0,3.0,15.0,15.0,1.0,0.033632286995515695,33.0,41.0,0.21428571428571427,1.0298165137614679,0.11838704427083334
2024-05-23_10_22_17_(13037)_sardine_input_(2).png,yes,yes,13.0,3.0,14.0,15.0,1.0,0.033632286995515695,31.0,34.0,0.23076923076923078,1.026829268292683,0.0984130859375
2024-05-23_10_22_33_(13038)_sardine_input_(0).png,yes,yes,14.0,3.0,15.0,15.0,2.0,0.03488372093023256,33.0,41.0,0.21428571428571427,1.0358851674641147,0.11213541666666667
2024-05-23_10_22_33_(13038)_sardine_input_(1).png,yes,yes,13.0,3.0,13.0,15.0,2.0,0.03488372093023256,31.0,38.0,0.23076923076923078,1.0337662337662337,0.10249186197916667
2024-05-23_10_22_33_(13038)_sardine_input_(2).png,yes,yes,14.0,3.0,15.0,15.0,2.0,0.03488372093023256,34.0,38.0,0.21428571428571427,1.0258215962441315,0.10167643229166666
2024-05-23_10_22_46_(13039)_sardine_input_(0).png,yes,yes,14.0,4.0,15.0,15.0,1.0,0.03667481662591687,35.0,48.0,0.2857142857142857,1.04,0.11790852864583333
2024-05-23_10_22_46_(13039)_sardine_input_(1).png,yes,yes,16.0,4.0,16.0,15.0,1.0,0.03667481662591687,37.0,45.0,0.25,1.0316742081447965,0.11090657552083333
2024-05-23_10_22_46_(13039)_sardine_input_(2).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.03667481662591687,36.0,40.0,0.2,1.0238663484486874,0.09780110677083333
