FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
15.0,4.0,16.0,15.0,3.0,0.006119951040391677,38.0,37.0,0.26666666666666666,1.0420432220039293,0.16724461945726002,20240502100554940_sardine_bad_(0).png,yes,yes
15.0,6.0,16.0,15.0,3.0,0.006607929515418502,38.0,39.0,0.4,1.0752551020408163,0.15021624628882055,20240502100602502_sardine_bad_(0).png,yes,yes
16.0,4.0,17.0,15.0,2.0,0.006535947712418301,39.0,34.0,0.25,1.0290196078431373,0.13532889326754666,20240502100610158_sardine_bad_(0).png,yes,yes
16.0,3.0,16.0,15.0,3.0,0.006418485237483954,40.0,37.0,0.1875,1.0243804956035172,0.15112969037015678,20240502100619414_sardine_bad_(0).png,yes,yes
14.0,4.0,15.0,15.0,3.0,0.006619593998234775,36.0,34.0,0.2857142857142857,1.0381644706951385,0.13066305293904054,20240502100628226_sardine_bad_(0).png,yes,yes
16.0,4.0,17.0,15.0,3.0,0.007263922518159807,43.0,42.0,0.25,1.0305113880532875,0.13333254904630698,20240502100637141_sardine_bad_(0).png,yes,yes
16.0,4.0,16.0,15.0,3.0,0.006868131868131868,38.0,36.0,0.25,1.0306513409961686,0.1276439650615148,20240502100645440_sardine_bad_(0).png,yes,yes
13.0,3.0,14.0,15.0,1.0,0.006871278057718736,34.0,25.0,0.23076923076923078,1.029294935451837,0.08842986404801573,20240502100653822_sardine_bad_(0).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.007015902712815715,36.0,28.0,0.21428571428571427,1.020952380952381,0.09787760249797087,20240502100702147_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.00641025641025641,35.0,26.0,0.21428571428571427,1.0330167345092718,0.10800783753043701,20240502100713102_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.007545271629778672,35.0,32.0,0.21428571428571427,1.0251177394034536,0.09622309061151693,20240502100723330_sardine_bad_(0).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.006702412868632708,40.0,36.0,0.2,1.027519051651143,0.13476595873916014,20240502100732493_sardine_bad_(0).png,yes,yes
14.0,4.0,15.0,15.0,2.0,0.006918819188191882,35.0,34.0,0.2857142857142857,1.0382797731568998,0.11856726112285873,20240502100741036_sardine_bad_(0).png,yes,yes
16.0,2.0,16.0,15.0,2.0,0.007082152974504249,39.0,30.0,0.125,1.0167106420404572,0.10206169034879747,20240502100749852_sardine_bad_(0).png,yes,yes
17.0,3.0,18.0,15.0,2.0,0.00706880301602262,44.0,37.0,0.17647058823529413,1.020246129416435,0.12534066424772525,20240502100812958_sardine_bad_(0).png,yes,yes
14.0,4.0,14.0,15.0,1.0,0.0077559462254395035,37.0,35.0,0.2857142857142857,1.0466630493760174,0.0991831900924858,20240502100823363_sardine_bad_(0).png,yes,yes
15.0,4.0,16.0,15.0,1.0,0.007045561296383279,39.0,40.0,0.26666666666666666,1.0427501101806964,0.13519039151608356,20240502100833420_sardine_bad_(0).png,yes,yes
13.0,3.0,14.0,15.0,1.0,0.006634232640424591,34.0,25.0,0.23076923076923078,1.0336812144212524,0.09833006936434704,20240502100841908_sardine_bad_(0).png,yes,yes
14.0,2.0,14.0,15.0,1.0,0.007177033492822967,34.0,29.0,0.14285714285714285,1.0213849287169043,0.09487194762164125,20240502100849447_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,3.0,0.006699419383653417,36.0,28.0,0.21428571428571427,1.0249177244945933,0.10590486364752873,20240502100900551_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,1.0,0.007575757575757576,36.0,28.0,0.21428571428571427,1.0302872062663186,0.08404686765773847,20240502100909675_sardine_bad_(0).png,yes,yes
14.0,4.0,15.0,15.0,3.0,0.0070389488503050214,36.0,34.0,0.2857142857142857,1.0376266280752533,0.11492942084241103,20240502100917435_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,3.0,0.007177033492822967,38.0,33.0,0.2,1.025943396226415,0.10874531763958306,20240502100924930_sardine_bad_(0).png,yes,yes
13.0,3.0,13.0,15.0,3.0,0.006846188954815153,32.0,25.0,0.23076923076923078,1.0272251308900524,0.09252384232560126,20240502100933075_sardine_bad_(0).png,yes,yes
13.0,3.0,14.0,15.0,3.0,0.006527415143603133,34.0,30.0,0.23076923076923078,1.0309082263433191,0.1194585949848349,20240502100942240_sardine_bad_(0).png,yes,yes
17.0,5.0,18.0,15.0,4.0,0.006599208095028597,44.0,38.0,0.29411764705882354,1.0472646073688128,0.14787606729783417,20240502100950606_sardine_bad_(0).png,yes,yes
16.0,5.0,17.0,15.0,3.0,0.0076103500761035,42.0,39.0,0.3125,1.0543575920934412,0.11479408961296937,20240502101028854_sardine_bad_(0).png,yes,yes
17.0,4.0,18.0,15.0,3.0,0.0061074918566775245,42.0,44.0,0.23529411764705882,1.0356768100734524,0.19883061135674313,20240502101040254_sardine_bad_(0).png,yes,yes
16.0,4.0,16.0,15.0,2.0,0.00629987400251995,39.0,33.0,0.25,1.034321372854914,0.14115088948160964,20240502101049895_sardine_bad_(0).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.006170300287947347,35.0,28.0,0.21428571428571427,1.0257058575642646,0.126066546921056,20240502101058970_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.00629458665547629,39.0,32.0,0.2,1.0218535006070417,0.13836792205989148,20240502101113669_sardine_bad_(0).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.006846188954815153,40.0,35.0,0.1875,1.0249471458773785,0.12772489680785168,20240502101125478_sardine_bad_(0).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.006263048016701462,39.0,31.0,0.2,1.0312374849819783,0.13456179380793712,20240502101133793_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.00597609561752988,38.0,32.0,0.2,1.028560401389425,0.14971438602674186,20240502101144227_sardine_bad_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.006846188954815153,43.0,39.0,0.23529411764705882,1.0368074389771407,0.139018629987398,20240502101153103_sardine_bad_(0).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.006440532417346501,41.0,38.0,0.1875,1.023659305993691,0.15588388814131318,20240502101204227_sardine_bad_(0).png,yes,yes
13.0,3.0,14.0,15.0,1.0,0.006669630947087594,34.0,26.0,0.23076923076923078,1.0246020260492041,0.09880431271092315,20240502101213407_sardine_bad_(0).png,yes,yes
13.0,3.0,14.0,15.0,2.0,0.006584723441615452,33.0,28.0,0.23076923076923078,1.040677966101695,0.1093308629960699,20240502101223184_sardine_bad_(0).png,yes,yes
14.0,3.0,15.0,15.0,3.0,0.006573181419807186,37.0,29.0,0.21428571428571427,1.028175313059034,0.11230122495621342,20240502101231664_sardine_bad_(0).png,yes,yes
15.0,4.0,16.0,15.0,3.0,0.006944444444444444,39.0,33.0,0.26666666666666666,1.0469769464984775,0.11598303537101115,20240502101239618_sardine_bad_(0).png,yes,yes
15.0,5.0,16.0,15.0,3.0,0.0063371356147021544,39.0,31.0,0.3333333333333333,1.0637254901960784,0.1306781546360374,20240502101311749_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,1.0,0.0063025210084033615,35.0,34.0,0.21428571428571427,1.0362030905077262,0.14608347083386733,20240502101320790_sardine_bad_(0).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.007242877836793819,40.0,36.0,0.1875,1.0240106714095154,0.11766883530372933,20240502101333531_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.006657789613848202,34.0,31.0,0.21428571428571427,1.0252808988764044,0.11747785306933231,20240502101341693_sardine_bad_(0).png,yes,yes
17.0,3.0,18.0,15.0,1.0,0.006669630947087594,44.0,41.0,0.17647058823529413,1.0234375,0.15504578567538127,20240502101350519_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.006175380815150268,37.0,30.0,0.2,1.0190627482128674,0.13141621878871373,20240502101358886_sardine_bad_(0).png,yes,yes
14.0,4.0,15.0,15.0,1.0,0.0063264445381695485,35.0,31.0,0.2857142857142857,1.0399656209712076,0.13219575003203896,20240502101408662_sardine_bad_(0).png,yes,yes
14.0,2.0,14.0,15.0,1.0,0.005947660586835844,35.0,26.0,0.14285714285714285,1.022090059473237,0.12479308172070572,20240502101418022_sardine_bad_(0).png,yes,yes
14.0,4.0,15.0,15.0,1.0,0.006208609271523178,37.0,30.0,0.2857142857142857,1.0391014975041597,0.13311111311354606,20240502101428004_sardine_bad_(0).png,yes,yes
14.0,2.0,14.0,15.0,1.0,0.006382978723404255,34.0,26.0,0.14285714285714285,1.0204174228675136,0.10700253174526891,20240502101529858_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.005580357142857143,38.0,32.0,0.2,1.0261532873229204,0.1754188927068649,20240502101541566_sardine_bad_(0).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.0066254416961130744,44.0,44.0,0.17647058823529413,1.0253456221198156,0.16782824581357597,20240502101548813_sardine_bad_(0).png,yes,yes
14.0,3.0,15.0,15.0,3.0,0.00628140703517588,35.0,33.0,0.21428571428571427,1.0275032230339494,0.1412324887062668,20240502101556254_sardine_bad_(0).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.006459948320413436,35.0,28.0,0.21428571428571427,1.0299427564949362,0.11212133954889145,20240502101604319_sardine_bad_(0).png,yes,yes
16.0,5.0,17.0,15.0,3.0,0.006255212677231026,39.0,40.0,0.3125,1.065293431791683,0.17274230464244522,20240502101612899_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.0062318238471125885,36.0,33.0,0.2,1.023927392739274,0.14329432923768637,20240502101621483_sardine_bad_(0).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.006473888649115235,39.0,32.0,0.2,1.0204834084391643,0.13045763648596695,20240502101632842_sardine_bad_(0).png,yes,yes
