                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8434,                 2.4371,                 2.6218,                 1.5626,                0.62451,                0.37337,                0.48594,                0.14964,                0.63683,                0.34694,                0.49345,                0.17101,                  2.028,                 4.8476,                 3.9151,                 1.7617,             0.00064762,             0.00064762,             0.00064762
                      2,                 1.3511,                  1.471,                 1.6087,                 1.1602,                0.38523,                0.72109,                0.37873,                 0.1996,                 0.3897,                 0.7415,                0.39017,                0.22464,                 1.4379,                 2.0317,                 3.0194,                 1.5981,              0.0013078,              0.0013078,              0.0013078
                      3,                  1.327,                 1.2734,                 1.4249,                 1.1262,                0.70974,                 0.7619,                0.82126,                0.42409,                0.71666,                0.76871,                0.83638,                0.48253,                 1.5125,                 1.6285,                 1.9486,                 1.5182,              0.0019613,              0.0019613,              0.0019613
                      4,                 1.2815,                 1.1806,                 1.2875,                  1.136,                0.82139,                0.84469,                0.88179,                0.50337,                0.82759,                0.84903,                0.89457,                0.53147,                 1.3815,                 1.6584,                 2.9748,                 1.3141,              0.0019703,              0.0019703,              0.0019703
                      5,                  1.212,                 1.1169,                 1.0993,                 1.0742,                 0.7706,                0.91837,                0.89327,                0.46051,                0.78439,                0.93197,                0.91152,                0.59143,                 1.4092,                 1.2919,                 2.7782,                 1.2947,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.2243,                 1.0907,                  1.035,                 1.0947,                0.80289,                0.88673,                0.89767,                0.47513,                0.85217,                0.94115,                0.96199,                0.60479,                 1.4998,                 1.3588,                 1.6738,                 1.2737,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.2229,                 1.0708,                0.98386,                  1.084,                0.93115,                0.90476,                0.96571,                0.58869,                0.94591,                0.91837,                0.97309,                0.67524,                 1.3501,                  1.223,                 1.0422,                  1.187,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.0945,                 1.0183,                0.87106,                 1.0561,                0.88746,                0.90476,                0.93525,                 0.5846,                0.89698,                0.91837,                0.96431,                0.74083,                 1.2089,                 1.2005,                 1.0289,                 1.0476,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.1504,                 1.0445,                0.86798,                 1.0587,                0.89558,                0.93353,                0.95951,                0.66406,                0.90666,                0.92513,                0.96819,                0.76102,                 1.0754,                 1.1604,                0.98705,                0.98895,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.1191,                 1.0677,                0.80413,                 1.0462,                0.97374,                0.96599,                0.99034,                0.68329,                0.97374,                0.96599,                0.98967,                0.70754,                 1.0767,                 1.3276,                0.73382,                0.94867,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.0572,                 1.0124,                0.77627,                 1.0225,                0.96042,                0.99049,                0.98369,                0.65144,                0.96042,                0.99049,                0.98369,                0.75682,                 1.1402,                 1.0715,                0.78017,                 1.0052,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.0693,                 1.0138,                0.76566,                 1.0227,                0.79653,                0.95918,                0.92778,                0.65453,                0.79653,                0.95918,                0.92866,                0.69841,                 1.0731,                 1.1499,                 0.8611,                0.95359,               0.001901,               0.001901,               0.001901
                     13,                 1.0456,                0.91296,                0.72516,                 1.0132,                0.94813,                 0.9932,                0.98575,                0.71859,                0.94633,                 0.9932,                0.98575,                0.76288,                0.99789,                 1.0328,                0.67677,                0.94663,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.0513,                0.96279,                0.73855,                 1.0285,                0.97336,                 0.9932,                0.98831,                0.70706,                0.96927,                 0.9932,                0.98831,                0.75469,                 1.0401,                 1.0453,                 0.6501,                 0.9476,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.0082,                  0.985,                0.70722,                 1.0183,                0.96682,                  0.991,                0.98269,                0.69598,                0.97345,                 0.9978,                0.98756,                0.76586,                 1.0737,                0.98926,                0.67914,                0.94725,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.0042,                0.99719,                0.68092,                 1.0103,                0.98273,                0.98639,                0.98874,                0.70353,                0.97991,                0.98639,                 0.9888,                0.76575,                 1.0495,                 1.0005,                 0.7398,                0.91926,              0.0018614,              0.0018614,              0.0018614
                     17,                0.98309,                0.94297,                0.67115,                 1.0124,                0.96237,                0.97279,                0.98555,                0.70819,                 0.9691,                0.97959,                0.98899,                0.78202,                 1.0268,                   1.02,                0.63259,                0.89787,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.0367,                0.90608,                0.69448,                 1.0091,                0.98387,                 0.9932,                0.98925,                0.73701,                0.98387,                 0.9932,                0.98925,                0.78033,                0.95349,                 0.9984,                0.58041,                0.90482,              0.0018416,              0.0018416,              0.0018416
                     19,                0.98324,                0.98657,                0.68027,                0.99884,                0.98332,                 0.9932,                 0.9886,                0.73699,                0.98332,                 0.9932,                 0.9886,                0.79494,                0.92709,                0.94841,                0.57891,                0.84934,              0.0018317,              0.0018317,              0.0018317
                     20,                0.94165,                0.82473,                0.63661,                0.99342,                0.97305,                0.98235,                0.98501,                0.71345,                0.97978,                0.98915,                0.98619,                0.78092,                0.98451,                 1.0212,                0.65209,                0.91005,              0.0018218,              0.0018218,              0.0018218
                     21,                0.92891,                0.89958,                0.62237,                0.97738,                0.99309,                0.97803,                0.98991,                0.76249,                0.99309,                0.97803,                0.98991,                0.81885,                0.89979,                0.92409,                0.56229,                0.85901,              0.0018119,              0.0018119,              0.0018119
                     22,                0.99187,                 0.9416,                0.64696,                0.99419,                0.97891,                      1,                 0.9904,                0.74882,                0.97891,                      1,                 0.9904,                 0.7776,                 0.9127,                0.98217,                0.54536,                0.86686,               0.001802,               0.001802,               0.001802
                     23,                0.92962,                0.89714,                0.61563,                0.98005,                0.97979,                0.98962,                0.98468,                0.72024,                0.97979,                0.98962,                0.98468,                0.77857,                0.89027,                0.99098,                0.55931,                0.86628,              0.0017921,              0.0017921,              0.0017921
                     24,                 0.8836,                0.87948,                0.60225,                0.96958,                0.96429,                 0.9932,                0.99106,                 0.7176,                0.96429,                 0.9932,                0.99106,                0.78546,                0.92225,                0.96775,                0.58647,                0.87464,              0.0017822,              0.0017822,              0.0017822
                     25,                0.91566,                0.93902,                0.61796,                0.97381,                0.97976,                0.98774,                0.98984,                0.71682,                0.98657,                0.99964,                 0.9899,                0.77988,                0.96395,                0.99464,                0.55739,                0.89459,              0.0017723,              0.0017723,              0.0017723
                     26,                0.92983,                0.90823,                0.61834,                0.98046,                0.96005,                0.98078,                 0.9914,                0.71735,                 0.9667,                0.98732,                0.99293,                0.78642,                0.96664,                0.95624,                0.56871,                0.88178,              0.0017624,              0.0017624,              0.0017624
                     27,                0.90112,                 0.8335,                0.59165,                0.97257,                 0.9792,                 0.9932,                0.99232,                0.77176,                 0.9792,                 0.9932,                0.99232,                0.80578,                0.87054,                 0.9413,                 0.5369,                0.83494,              0.0017525,              0.0017525,              0.0017525
                     28,                0.90791,                0.83836,                0.56966,                0.97074,                0.97998,                0.99896,                0.99418,                0.73864,                0.97998,                0.99896,                0.99418,                 0.8085,                0.96047,                0.93407,                0.55836,                0.85089,              0.0017426,              0.0017426,              0.0017426
                     29,                0.91066,                0.87758,                0.57399,                 0.9719,                  0.992,                 0.9932,                0.98881,                0.72958,                  0.992,                 0.9932,                0.98881,                0.76817,                0.94621,                 1.0076,                 0.5478,                0.83734,              0.0017327,              0.0017327,              0.0017327
                     30,                0.89321,                0.86766,                0.57319,                 0.9615,                0.98584,                 0.9932,                0.98996,                0.73369,                0.98584,                 0.9932,                0.98996,                0.79216,                0.89413,                0.93176,                0.53071,                0.82194,              0.0017228,              0.0017228,              0.0017228
                     31,                0.88997,                0.83889,                0.57338,                0.96703,                0.98356,                 0.9932,                0.99282,                0.75876,                0.98655,                0.99831,                0.99282,                0.80647,                0.89185,                0.92212,                0.51108,                0.83503,              0.0017129,              0.0017129,              0.0017129
                     32,                0.86912,                0.81157,                0.55507,                0.96525,                0.98454,                      1,                0.98867,                0.77342,                0.98454,                      1,                0.98867,                0.81451,                0.83883,                0.92467,                0.49533,                0.83598,               0.001703,               0.001703,               0.001703
                     33,                0.82122,                 0.8072,                0.52212,                0.95046,                0.99324,                 0.9988,                0.99041,                0.76885,                0.99324,                 0.9988,                0.99041,                0.80138,                0.86921,                0.91116,                0.50744,                0.82401,              0.0016931,              0.0016931,              0.0016931
                     34,                0.86833,                0.86917,                0.56145,                0.96466,                0.99324,                0.99896,                0.99331,                0.79348,                0.99324,                0.99896,                0.99331,                0.82043,                0.79002,                0.89272,                0.47161,                0.79632,              0.0016832,              0.0016832,              0.0016832
                     35,                0.83857,                0.88702,                0.54049,                0.95423,                0.98603,                      1,                0.98926,                0.78876,                0.98603,                      1,                0.98926,                0.81697,                0.81014,                0.92557,                0.48494,                0.82531,              0.0016733,              0.0016733,              0.0016733
                     36,                0.84004,                0.83792,                0.52896,                0.95649,                0.97833,                      1,                 0.9867,                0.74445,                0.97833,                      1,                 0.9867,                0.80628,                0.90263,                0.90468,                0.51114,                0.84895,              0.0016634,              0.0016634,              0.0016634
                     37,                0.85096,                0.80195,                0.55625,                0.95332,                0.98311,                      1,                0.98945,                0.78993,                0.98311,                      1,                0.98945,                0.83244,                0.80892,                0.90843,                0.51688,                0.81126,              0.0016535,              0.0016535,              0.0016535
                     38,                0.86306,                0.82193,                0.56496,                0.96909,                0.98447,                      1,                0.98972,                0.76633,                0.98447,                      1,                0.98972,                0.80132,                0.81399,                 0.8869,                0.50189,                0.79398,              0.0016436,              0.0016436,              0.0016436
                     39,                0.85789,                0.83182,                0.54105,                0.96703,                0.97795,                      1,                0.99131,                0.77637,                0.97795,                      1,                0.99131,                0.80333,                0.79452,                0.90142,                0.48578,                0.79685,              0.0016337,              0.0016337,              0.0016337
                     40,                0.81623,                0.81055,                0.52148,                0.94968,                 0.9814,                      1,                0.98786,                0.75618,                 0.9814,                      1,                0.98786,                0.79978,                0.81482,                0.93092,                0.52811,                0.81859,              0.0016238,              0.0016238,              0.0016238
                     41,                0.76365,                0.79471,                0.50162,                0.94468,                0.98475,                      1,                0.99027,                0.77757,                0.98475,                      1,                0.99027,                0.81471,                 0.8417,                0.97448,                0.50222,                0.82103,              0.0016139,              0.0016139,              0.0016139
                     42,                0.80692,                0.80875,                0.51944,                0.93894,                0.97543,                      1,                0.98462,                0.76181,                0.97543,                      1,                0.98462,                0.80982,                0.89004,                0.90445,                0.51007,                0.86309,               0.001604,               0.001604,               0.001604
