Filename,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),one_pixel_value,Scale Detected,Fish Detected,Circumference(cm),Area(cm),Label
20240130093208534_sardine_bad.jpeg,13,3,13,16,2,0.0071301247771836,True,True,33,23,0
20240130093304262_sardine_bad.jpeg,14,3,14,16,2,0.007835455435847209,True,True,34,25,0
20240130093323026_sardine_bad.jpeg,12,2,13,16,3,0.0070052539404553416,True,True,31,19,0
20240130093336802_sardine_bad.jpeg,12,3,13,16,3,0.0074418604651162795,True,True,30,21,0
20240130093404006_sardine_bad.jpeg,14,4,15,16,3,0.0069054812257229176,True,True,35,27,0
20240130093545356_sardine_bad.jpeg,14,2,14,16,4,0.00700218818380744,True,True,33,24,0
20240130093848544_sardine_bad.jpeg,15,3,15,16,1,0.006672226855713094,True,True,37,29,0
20240130093907176_sardine_bad.jpeg,15,3,15,16,3,0.0069868995633187774,True,True,37,30,0
20240130093946792_sardine_bad.jpeg,14,3,14,16,3,0.007089056269384138,True,True,36,26,0
20240130094005438_sardine_bad.jpeg,14,2,14,16,1,0.007279344858962694,True,True,35,27,0
20240130094030671_sardine_bad.jpeg,14,4,14,16,3,0.006717044500419815,True,True,34,26,0
20240130094049201_sardine_bad.jpeg,15,4,16,16,1,0.007226738934056007,True,True,37,30,0
20240130094439578_sardine_bad.jpeg,15,4,15,16,2,0.008815426997245178,True,True,38,30,0
20240130094505903_sardine_bad.jpeg,15,3,15,16,1,0.006576243321002877,True,True,37,28,0
20240130095455200_sardine_bad.jpeg,13,3,13,16,2,0.008690928843020097,True,True,30,23,0
20240130095656818_sardine_bad.jpeg,14,4,15,16,3,0.00819252432155658,True,True,36,30,0
20240130095748402_sardine_bad.jpeg,15,3,15,16,2,0.008438818565400843,True,True,36,32,0
20240130095810897_sardine_bad.jpeg,15,3,15,16,2,0.0091324200913242,True,True,36,32,0
20240130095913371_sardine_bad.jpeg,15,3,16,16,2,0.00810126582278481,True,True,38,30,0
20240130100118616_sardine_bad.jpeg,14,3,14,16,2,0.008938547486033519,True,True,34,26,0
20240130100247043_sardine_bad.jpeg,16,3,16,16,2,0.007696007696007696,True,True,41,35,0
20240130100310259_sardine_bad.jpeg,13,2,14,16,1,0.008629989212513484,True,True,33,24,0
20240130100330997_sardine_bad.jpeg,16,3,16,16,1,0.008602150537634409,True,True,40,34,0
20240130100422132_sardine_bad.jpeg,15,2,15,16,1,0.008016032064128256,True,True,38,30,0
20240130101234793_sardine_bad.jpeg,13,2,14,16,1,0.008639308855291577,True,True,33,23,0
20240131105223662_sardine_bad.jpeg,15,2,15,16,3,0.008285862247540134,True,True,36,30,0
20240131105236934_sardine_bad.jpeg,14,2,14,16,2,0.007536504945831371,True,True,35,26,0
20240131105249034_sardine_bad.jpeg,13,3,13,16,3,0.006808510638297872,True,True,32,22,0
20240131105309994_sardine_bad.jpeg,14,3,14,16,1,0.007692307692307693,True,True,35,27,0
20240131105327009_sardine_bad.jpeg,16,3,16,16,3,0.00815078960774325,True,True,41,35,0
20240131105409725_sardine_bad.jpeg,15,3,16,16,3,0.006675010429703796,True,True,38,30,0
20240131105421391_sardine_bad.jpeg,15,3,15,16,2,0.0077406869859700045,True,True,38,30,0
20240131105435663_sardine_bad.jpeg,13,2,14,16,1,0.007718282682103232,True,True,34,24,0
20240131105436054_sardine_bad.jpeg,13,2,14,16,1,0.007718282682103232,True,True,34,24,0
20240131105447612_sardine_bad.jpeg,13,3,14,16,2,0.007536504945831371,True,True,34,24,0
20240131105458773_sardine_bad.jpeg,14,3,14,16,1,0.007101642254771416,True,True,35,27,0
20240131105509422_sardine_bad.jpeg,17,3,17,16,2,0.008658008658008658,True,True,42,37,0
20240131105530006_sardine_bad.jpeg,14,4,15,16,1,0.007101642254771416,True,True,35,28,0
20240220100855987_sardine_bad.jpeg,15,3,15,16,1,0.008200922603792926,True,True,38,28,0
20240220100910596_sardine_bad.jpeg,17,3,17,16,1,0.008188331627430911,True,True,42,35,0
20240220100921580_sardine_bad.jpeg,14,4,15,16,2,0.008028098344204716,True,True,37,29,0
20240220100936512_sardine_bad.jpeg,15,3,15,16,2,0.007759456838021339,True,True,38,32,0
20240220100946481_sardine_bad.jpeg,13,3,13,16,1,0.007168458781362007,True,True,32,22,0
20240220100958976_sardine_bad.jpeg,14,2,14,16,1,0.007107952021323856,True,True,35,25,0
20240220101008287_sardine_bad.jpeg,15,3,15,16,2,0.007336084364970197,True,True,37,28,0
20240220101019444_sardine_bad.jpeg,12,4,12,16,2,0.007434944237918215,True,True,30,19,0
20240220101029273_sardine_bad.jpeg,13,3,13,16,1,0.007349563619660083,True,True,31,21,0
20240220101041876_sardine_bad.jpeg,15,3,16,16,1,0.007793472966390648,True,True,38,29,0
20240220101102510_sardine_bad.jpeg,14,4,15,16,1,0.0078125,True,True,36,28,0
20240220101128935_sardine_bad.jpeg,14,3,14,16,1,0.008060453400503778,True,True,36,28,0
20240220101203714_sardine_bad.jpeg,13,4,14,16,1,0.0076481835564053535,True,True,34,22,0
20240220101240168_sardine_bad.jpeg,15,3,15,16,1,0.00829445308449974,True,True,37,27,0
20240220101312357_sardine_bad.jpeg,12,2,13,16,3,0.00887409872434831,True,True,30,20,0
20240220101331943_sardine_bad.jpeg,13,2,13,16,1,0.008556149732620321,True,True,33,24,0
20240220101342051_sardine_bad.jpeg,13,4,14,16,5,0.008629989212513484,True,True,33,25,0
20240220102022510_sardine_bad.jpeg,12,2,12,16,1,0.007608178792201617,True,True,29,18,0
20240220102031511_sardine_bad.jpeg,14,3,15,16,1,0.007213706041478809,True,True,36,29,0
20240220102104161_sardine_bad.jpeg,13,3,14,16,3,0.008359456635318705,True,True,33,24,0
20240220102350434_sardine_bad.jpeg,14,3,14,16,1,0.009009009009009009,True,True,35,26,0
20240222095029492_sardine_bad.jpeg,12,3,12,16,1,0.007349563619660083,True,True,30,20,0
20240222100859062_sardine_bad.jpeg,14,3,14,16,2,0.007644529383659818,True,True,33,25,0
20240222100943904_sardine_bad.jpeg,13,4,14,16,3,0.007766990291262136,True,True,33,26,0
20240222101415782_sardine_bad.jpeg,12,2,13,16,3,0.007608178792201617,True,True,31,24,0
20240222101434106_sardine_bad.jpeg,15,3,15,16,3,0.008008008008008008,True,True,38,34,0
20240222101657301_sardine_bad.jpeg,14,2,14,16,1,0.007243096423721141,True,True,33,26,0
20240222102011117_sardine_bad.jpeg,10,2,10,16,2,0.0070859167404783,True,True,26,14,0
20240222102033744_sardine_bad.jpeg,14,3,14,16,1,0.0071111111111111115,True,True,36,28,0
20240222102214684_sardine_bad.jpeg,13,2,13,16,2,0.007239819004524887,True,True,32,24,0
20240228093016656_sardine_bad.jpeg,13,5,14,16,2,0.006436041834271922,True,True,33,24,0
20240228093032129_sardine_bad.jpeg,13,2,13,16,3,0.0062402496099844,True,True,32,23,0
