,filename,filename_id,actual_class,predicted_class,reason
0,2025-01-21_10_16_46_(18770)_sardine_input.jpeg,2025-01-21_10_16_46_(18770)_sardine_input_(1).jpeg,Good,Good,
1,2025-01-21_10_16_46_(18770)_sardine_input.jpeg,2025-01-21_10_16_46_(18770)_sardine_input_(2).jpeg,Good,Good,
2,2025-01-21_10_22_30_(18795)_sardine_input.jpeg,2025-01-21_10_22_30_(18795)_sardine_input_(1).jpeg,Good,Good,
3,2025-01-21_10_22_30_(18795)_sardine_input.jpeg,2025-01-21_10_22_30_(18795)_sardine_input_(2).jpeg,Good,Good,
4,2025-01-21_10_18_01_(18776)_sardine_input.jpeg,2025-01-21_10_18_01_(18776)_sardine_input_(1).jpeg,Good,Good,
5,2025-01-21_10_18_01_(18776)_sardine_input.jpeg,2025-01-21_10_18_01_(18776)_sardine_input_(2).jpeg,Good,Good,
6,2025-01-21_10_21_59_(18791)_sardine_input.jpeg,2025-01-21_10_21_59_(18791)_sardine_input_(1).jpeg,Good,Good,
7,2025-01-21_10_21_59_(18791)_sardine_input.jpeg,2025-01-21_10_21_59_(18791)_sardine_input_(2).jpeg,Good,Good,
8,2025-01-21_10_17_41_(18774)_sardine_input.jpeg,2025-01-21_10_17_41_(18774)_sardine_input_(1).jpeg,Good,Good,
9,2025-01-21_10_17_41_(18774)_sardine_input.jpeg,2025-01-21_10_17_41_(18774)_sardine_input_(2).jpeg,Good,Bad,Softness
10,2025-01-21_10_22_04_(18792)_sardine_input.jpeg,2025-01-21_10_22_04_(18792)_sardine_input_(1).jpeg,Good,Good,
11,2025-01-21_10_22_04_(18792)_sardine_input.jpeg,2025-01-21_10_22_04_(18792)_sardine_input_(2).jpeg,Good,Good,
12,2025-01-21_10_23_19_(18800)_sardine_input.jpeg,2025-01-21_10_23_19_(18800)_sardine_input_(1).jpeg,Good,Good,
13,2025-01-21_10_23_19_(18800)_sardine_input.jpeg,2025-01-21_10_23_19_(18800)_sardine_input_(2).jpeg,Good,Good,
14,2025-01-21_10_22_22_(18794)_sardine_input.jpeg,2025-01-21_10_22_22_(18794)_sardine_input_(1).jpeg,Good,Good,
15,2025-01-21_10_22_22_(18794)_sardine_input.jpeg,2025-01-21_10_22_22_(18794)_sardine_input_(2).jpeg,Good,Good,
16,2025-01-21_10_22_12_(18793)_sardine_input.jpeg,2025-01-21_10_22_12_(18793)_sardine_input_(1).jpeg,Good,Good,
17,2025-01-21_10_22_12_(18793)_sardine_input.jpeg,2025-01-21_10_22_12_(18793)_sardine_input_(2).jpeg,Good,Good,
18,2025-01-21_10_14_13_(18757)_sardine_input.jpeg,2025-01-21_10_14_13_(18757)_sardine_input_(1).jpeg,Good,Bad,Softness
