                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6029,                 3.3807,                 5.7366,                 1.8643,                0.00125,                0.65823,                0.02262,                0.01732,                0.00121,                 0.6519,                0.02289,                0.01526,                 2.2224,                 3.6137,                 5.3589,                 1.6972,              0.0003334,              0.0003334,              0.0003334
                      2,                 2.2443,                 2.7618,                 4.1479,                  1.584,                0.00198,                0.74051,                0.06884,                0.04312,                0.00253,                0.81013,                0.09008,                0.04074,                 2.2155,                 3.6023,                 5.1002,                 1.5572,             0.00066994,             0.00066994,             0.00066994
                      3,                  2.173,                 2.8264,                 3.3653,                 1.5812,                0.27736,                0.25633,                0.03913,                0.01574,                0.27736,                0.25633,                0.03302,                0.00571,                 2.4791,                 3.5485,                 4.4838,                  1.883,             0.00099261,             0.00099261,             0.00099261
                      4,                 2.1322,                 2.6198,                 3.1067,                 1.5341,                0.12328,                0.26266,                0.01733,                0.00607,                0.04492,                0.01266,                0.01239,                0.00387,                 2.1635,                 3.4669,                 4.5586,                 1.8279,              0.0013014,              0.0013014,              0.0013014
                      5,                 2.1539,                 2.4758,                 2.8758,                 1.5436,                0.63961,                0.15823,                0.13043,                0.05775,                0.63215,                0.13924,                0.15466,                0.04932,                 2.4788,                 3.3426,                 3.3147,                 2.0319,               0.001535,               0.001535,               0.001535
                      6,                 2.1625,                 2.4318,                 2.8093,                 1.5735,                0.16381,                0.13262,                0.10179,                0.03719,                0.11291,                0.09048,                 0.0725,                0.02302,                 2.6176,                 2.9861,                 3.2946,                 1.9764,               0.001535,               0.001535,               0.001535
                      7,                 2.0947,                 2.4002,                 2.5448,                 1.5607,                 0.1645,                 0.4019,                0.11119,                0.03736,                0.15791,                0.37658,                0.09768,                0.03278,                 2.4743,                 2.7316,                 3.9647,                 2.0924,               0.001502,               0.001502,               0.001502
                      8,                 2.0842,                 2.5205,                  2.436,                 1.5522,                0.67337,                0.17722,                0.13839,                0.04969,                 0.6902,                0.18354,                0.14606,                0.04516,                 2.3331,                 2.7113,                  3.097,                  1.866,               0.001469,               0.001469,               0.001469
                      9,                 1.9938,                 2.3298,                 2.2181,                 1.5095,                0.10653,                 0.1962,                0.15854,                0.06569,                0.66784,                0.11392,                0.15881,                0.05889,                 2.4926,                 2.6201,                 3.5296,                 1.8398,               0.001436,               0.001436,               0.001436
                     10,                 1.9626,                 2.1898,                 2.1617,                 1.4875,                0.17042,                0.46519,                0.21704,                0.09602,                0.15614,                 0.4462,                 0.2144,                0.07252,                  2.693,                 2.9046,                 2.7014,                 1.8575,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.9482,                 2.5406,                 1.9454,                 1.4556,                0.77006,                0.17089,                0.18212,                0.06758,                 0.7649,                0.16456,                   0.17,                0.05971,                 2.3917,                 2.5721,                 2.5981,                 1.7447,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.9746,                 2.3466,                  1.945,                 1.5216,                0.26613,                0.61076,                 0.3122,                0.14626,                0.24464,                0.56013,                0.28267,                0.11751,                 2.1671,                 2.6007,                 2.2405,                 1.7152,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.9697,                 2.3095,                 1.9136,                 1.5276,                 0.2323,                0.54747,                0.31071,                0.12517,                0.22398,                0.53481,                  0.302,                 0.1142,                  2.137,                 2.4851,                 2.0345,                 1.6829,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.8682,                 2.2123,                 1.7662,                  1.441,                 0.5854,                0.39557,                0.49082,                0.27318,                0.60467,                0.37658,                0.45779,                0.26272,                 2.4094,                  2.535,                  2.189,                 1.8084,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.9508,                 2.2408,                 1.8771,                 1.4698,                0.54428,                0.45253,                0.42423,                0.28778,                0.53138,                0.46122,                0.42671,                0.22709,                 2.5445,                 2.6611,                 2.3058,                 1.9733,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.8659,                  2.326,                 1.8308,                 1.3972,                0.49963,                0.38714,                0.44426,                0.27019,                0.52153,                 0.3998,                0.42812,                0.25315,                 2.4652,                   2.97,                 2.1517,                 1.8675,              0.0012049,              0.0012049,              0.0012049
                     17,                   1.91,                 2.2026,                  1.647,                 1.4709,                0.13876,                0.38662,                0.33152,                0.15978,                0.12839,                0.33846,                0.31193,                 0.1354,                  2.488,                 2.8215,                 2.1233,                 1.8565,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.8864,                 2.1061,                 1.6115,                 1.4113,                0.42794,                0.50316,                0.46352,                0.19516,                0.42794,                0.50316,                0.45106,                0.20759,                 2.5274,                   2.89,                 2.0682,                 1.8275,              0.0011389,              0.0011389,              0.0011389
                     19,                  1.793,                 2.0758,                  1.598,                 1.3957,                0.44599,                0.45253,                0.50086,                0.23216,                0.44599,                0.45253,                0.47651,                0.19582,                 2.2838,                  2.509,                 2.1821,                 1.7164,              0.0011059,              0.0011059,              0.0011059
                     20,                  1.761,                 2.0107,                  1.564,                 1.3688,                0.56154,                0.42722,                0.48382,                0.30493,                0.59933,                0.39557,                0.43399,                0.24133,                 2.3805,                 2.6118,                 1.9902,                 1.8288,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.7496,                 2.1442,                  1.569,                 1.3536,                0.79799,                0.24276,                 0.3669,                0.18666,                0.76649,                0.21671,                0.33102,                0.14161,                 2.2797,                 2.4888,                 2.0467,                 1.7401,              0.0010399,              0.0010399,              0.0010399
                     22,                  1.804,                 2.0634,                 1.5748,                 1.4058,                0.53873,                0.47337,                 0.5157,                0.26638,                0.51007,                0.45253,                0.48295,                0.22107,                 2.2512,                 2.6067,                 2.0967,                 1.7183,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.7359,                 2.0314,                 1.5011,                 1.3408,                0.72371,                0.52848,                0.51307,                0.32432,                 0.7286,                0.46935,                0.48667,                0.27415,                 2.3677,                 2.6374,                 2.0232,                 1.7842,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.7161,                 2.0036,                 1.4449,                 1.3584,                0.53048,                0.53481,                0.50484,                0.30086,                0.50159,                0.51582,                0.47488,                0.30176,                 2.4279,                 2.3779,                 1.8255,                 1.8539,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.7714,                 2.1069,                 1.4521,                 1.3683,                0.62817,                0.47179,                 0.4835,                0.29965,                0.68929,                 0.4462,                0.47789,                 0.2454,                 2.2896,                 2.4644,                 1.7731,                 1.7448,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.6515,                 1.9841,                 1.3676,                 1.3095,                0.54363,                0.45886,                0.44971,                0.29401,                0.75081,                0.38291,                0.46365,                0.25913,                 2.2692,                 2.6113,                 1.8489,                 1.7675,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.7207,                 2.0339,                 1.3885,                 1.3296,                0.63413,                0.47785,                0.48606,                0.29159,                0.55311,                0.43987,                 0.4342,                0.23819,                 2.3521,                 2.7547,                  1.999,                  1.718,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.5509,                 1.9213,                 1.3267,                 1.2519,                0.60303,                0.46519,                0.48633,                0.27993,                0.53875,                 0.4462,                0.43423,                0.23294,                 2.1641,                  2.704,                 2.2223,                  1.696,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.6029,                 2.0179,                 1.3913,                 1.3056,                0.61084,                0.48814,                0.48401,                0.31339,                0.59944,                0.47785,                0.46994,                0.23874,                 2.2644,                 2.7047,                 2.0102,                 1.7139,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.5251,                 1.9264,                 1.2677,                 1.2469,                0.79319,                0.49419,                0.54031,                0.30704,                0.76758,                 0.4752,                0.49937,                0.25098,                 2.0444,                 2.5077,                 1.8217,                  1.671,             0.00074282,             0.00074282,             0.00074282
                     31,                  1.578,                 1.8983,                 1.2652,                 1.2651,                0.60893,                0.50949,                0.52629,                0.30052,                0.57244,                0.47152,                0.47625,                0.27579,                 2.2578,                 2.4773,                 1.7698,                 1.7529,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.6278,                 2.0699,                 1.3065,                 1.2921,                0.65066,                0.42722,                0.52206,                0.32587,                0.59244,                 0.4019,                0.48045,                0.26791,                 2.4975,                 2.7487,                 1.9625,                 1.9227,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.5707,                 1.9195,                 1.2833,                 1.2528,                0.63168,                0.45253,                0.47381,                0.25911,                0.64017,                0.45886,                0.45707,                0.23767,                  2.336,                 2.6928,                  1.791,                  1.846,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.5664,                 1.7771,                 1.2518,                 1.2543,                0.48259,                0.42566,                0.48704,                0.28622,                0.46623,                0.43987,                0.48312,                0.25166,                 2.2805,                 2.7414,                   1.94,                 1.8037,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.5622,                 1.7588,                 1.2611,                 1.2565,                0.66752,                0.45886,                0.49903,                0.32258,                0.74399,                0.43987,                 0.4796,                0.27042,                 2.4819,                 2.9589,                 1.7993,                 1.8883,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.4478,                 1.7018,                 1.1485,                 1.1895,                0.62971,                0.50316,                0.52484,                 0.3221,                0.60103,                 0.4462,                0.47457,                0.26652,                 2.3307,                 2.6706,                 1.8295,                   1.78,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.5328,                 1.7854,                 1.1918,                 1.2428,                0.71848,                0.45253,                0.53675,                0.30323,                0.71004,                0.41456,                0.48503,                0.27773,                 2.4489,                 2.6503,                  1.819,                 1.8885,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.4668,                 1.7333,                 1.1526,                 1.2102,                0.49936,                0.48418,                0.53501,                0.33347,                0.51022,                 0.4462,                0.50403,                0.28263,                  2.408,                 2.8382,                 1.8581,                 1.8456,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.4928,                 1.8062,                 1.1403,                 1.2137,                0.58027,                0.47152,                0.54631,                0.33317,                0.53666,                0.43354,                 0.4965,                0.27626,                 2.3148,                 2.9007,                 1.8646,                  1.809,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.4402,                 1.7708,                 1.1076,                 1.1792,                0.60695,                0.49261,                0.56435,                0.35038,                0.58411,                0.47152,                0.51501,                0.28815,                 2.2646,                 2.9196,                 1.9046,                 1.7967,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.4423,                 1.6124,                 1.2118,                 1.2317,                0.68841,                0.43987,                0.54248,                 0.3426,                0.66608,                0.41456,                0.51131,                0.29472,                 2.3967,                 2.8618,                 1.7768,                 1.9107,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.5123,                 1.5437,                 1.1819,                 1.2795,                0.63117,                0.42722,                0.53721,                0.31433,                0.59688,                0.40823,                0.49478,                0.28734,                 2.4202,                 2.8494,                 1.6308,                 2.0167,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.4332,                  1.555,                 1.0786,                 1.2213,                0.63524,                0.45886,                0.53164,                0.31241,                0.65999,                0.43354,                0.49265,                0.28113,                 2.2853,                 2.9125,                 1.7027,                 1.8929,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.4128,                 1.4984,                 1.1175,                 1.1847,                0.71394,                0.46519,                 0.5319,                 0.3102,                0.68951,                0.43987,                0.48643,                0.25116,                 2.4373,                 2.9564,                 1.7399,                 1.8885,             0.00028072,             0.00028072,             0.00028072
