date,filename,filename_id,actual_class,predicted_class,reason
2024-12-03,2024-12-03_10_14_57_(17680)_sardine_input.jpeg,(17680)_(1),Bad,Bad,Softness
2024-12-03,2024-12-03_10_14_57_(17680)_sardine_input.jpeg,(17680)_(2),Bad,Good,
2024-12-03,2024-12-03_10_15_09_(17681)_sardine_input.jpeg,(17681)_(1),Bad,Bad,Softness
2024-12-03,2024-12-03_10_15_09_(17681)_sardine_input.jpeg,(17681)_(2),Bad,Bad,Softness
2024-12-03,2024-12-03_10_15_20_(17682)_sardine_input.jpeg,(17682)_(1),Bad,Bad,Softness
2024-12-03,2024-12-03_10_15_20_(17682)_sardine_input.jpeg,(17682)_(2),Bad,Good,
2024-12-03,2024-12-03_10_15_33_(17683)_sardine_input.jpeg,(17683)_(1),Bad,Bad,Softness
2024-12-03,2024-12-03_10_15_33_(17683)_sardine_input.jpeg,(17683)_(2),Bad,Bad,Softness
2024-12-03,2024-12-03_10_15_45_(17684)_sardine_input.jpeg,(17684)_(1),Bad,Bad,Softness
2024-12-03,2024-12-03_10_15_45_(17684)_sardine_input.jpeg,(17684)_(2),Bad,Bad,Softness
2024-12-03,2024-12-03_10_15_56_(17685)_sardine_input.jpeg,(17685)_(1),Bad,Bad,Softness
2024-12-03,2024-12-03_10_15_56_(17685)_sardine_input.jpeg,(17685)_(2),Bad,Bad,Softness
2024-12-03,2024-12-03_10_16_10_(17686)_sardine_input.jpeg,(17686)_(1),Bad,Good,
2024-12-03,2024-12-03_10_16_10_(17686)_sardine_input.jpeg,(17686)_(2),Bad,Bad,Softness
2024-12-03,2024-12-03_10_16_23_(17687)_sardine_input.jpeg,(17687)_(1),Bad,Bad,Damaged
2024-12-03,2024-12-03_10_16_23_(17687)_sardine_input.jpeg,(17687)_(2),Bad,Bad,Softness
2024-12-03,2024-12-03_10_16_34_(17688)_sardine_input.jpeg,(17688)_(1),Bad,Bad,Softness
2024-12-03,2024-12-03_10_16_34_(17688)_sardine_input.jpeg,(17688)_(2),Bad,Bad,Softness
2024-12-03,2024-12-03_10_16_45_(17689)_sardine_input.jpeg,(17689)_(1),Bad,Bad,Softness
2024-12-03,2024-12-03_10_16_45_(17689)_sardine_input.jpeg,(17689)_(2),Bad,Bad,Softness
2024-12-03,2024-12-03_10_16_56_(17690)_sardine_input.jpeg,(17690)_(1),Bad,Good,
2024-12-03,2024-12-03_10_16_56_(17690)_sardine_input.jpeg,(17690)_(2),Bad,Good,
2024-12-03,2024-12-03_10_17_08_(17691)_sardine_input.jpeg,(17691)_(1),Bad,Good,
